#string_protein_id | preferred_name | protein_size
9606.ENSP00000016946 | RGPD5 | 1765
9606.ENSP00000017003 | XYLT2 | 865
9606.ENSP00000019103 | SCTR | 440
9606.ENSP00000020926 | SYT13 | 426
9606.ENSP00000020945 | SNAI2 | 268
9606.ENSP00000023064 | SLC7A9 | 487
9606.ENSP00000023939 | RTF2 | 336
9606.ENSP00000025008 | RB1CC1 | 1594
9606.ENSP00000025301 | AKAP11 | 1901
9606.ENSP00000026218 | PIGQ | 760
9606.ENSP00000027335 | CDH17 | 832
9606.ENSP00000029410 | B4GALT7 | 327
9606.ENSP00000033079 | FAM13B | 915
9606.ENSP00000035307 | CHPF2 | 772
9606.ENSP00000037243 | GABARAPL2 | 117
9606.ENSP00000037502 | MYOC | 504
9606.ENSP00000039007 | OTC | 354
9606.ENSP00000039989 | TTC17 | 1141
9606.ENSP00000040584 | HOXC8 | 242
9606.ENSP00000040663 | MRI1 | 369
9606.ENSP00000040738 | BOD1L1 | 3051
9606.ENSP00000040877 | TARBP1 | 1621
9606.ENSP00000043402 | RTN4R | 473
9606.ENSP00000044462 | PSMA4 | 261
9606.ENSP00000045083 | RIPOR3 | 946
9606.ENSP00000046087 | ZPBP | 351
9606.ENSP00000046794 | LCP2 | 533
9606.ENSP00000052754 | DCN | 359
9606.ENSP00000053243 | TNFRSF17 | 184
9606.ENSP00000053468 | MRPS10 | 201
9606.ENSP00000053469 | GUCA1A | 201
9606.ENSP00000053867 | GRN | 593
9606.ENSP00000054650 | THAP3 | 239
9606.ENSP00000054666 | VAMP3 | 100
9606.ENSP00000054668 | UTS2 | 139
9606.ENSP00000054950 | RCN1 | 331
9606.ENSP00000055077 | RFC2 | 354
9606.ENSP00000055335 | PPP1R3F | 799
9606.ENSP00000055682 | NEXMIF | 1516
9606.ENSP00000056217 | ARHGEF5 | 1597
9606.ENSP00000056233 | NFE2L3 | 694
9606.ENSP00000061240 | TLL1 | 1013
9606.ENSP00000064571 | CBLN4 | 201
9606.ENSP00000064724 | CLDN11 | 207
9606.ENSP00000064778 | FAM168A | 244
9606.ENSP00000064780 | RELT | 430
9606.ENSP00000070846 | PKP2 | 881
9606.ENSP00000072644 | YIPF1 | 306
9606.ENSP00000072869 | ADCK2 | 626
9606.ENSP00000074304 | INPP4A | 977
9606.ENSP00000075120 | SLC2A3 | 496
9606.ENSP00000075503 | STYK1 | 422
9606.ENSP00000078429 | GNA11 | 359
9606.ENSP00000078445 | CREB3L3 | 461
9606.ENSP00000080059 | HDAC7 | 991
9606.ENSP00000081029 | MRPS35 | 323
9606.ENSP00000083182 | APPBP2 | 585
9606.ENSP00000084798 | CA11 | 328
9606.ENSP00000085068 | ISOC2 | 221
9606.ENSP00000085219 | CD22 | 847
9606.ENSP00000086933 | GSC2 | 205
9606.ENSP00000155093 | ZFY | 801
9606.ENSP00000155840 | KCNQ1 | 676
9606.ENSP00000155858 | TRPM5 | 1165
9606.ENSP00000155926 | TRIB2 | 343
9606.ENSP00000156084 | OTUD5 | 571
9606.ENSP00000156109 | GPKOW | 476
9606.ENSP00000156471 | AQR | 1485
9606.ENSP00000156626 | ST6GALNAC1 | 600
9606.ENSP00000157600 | LMCD1 | 365
9606.ENSP00000157812 | PSMC4 | 418
9606.ENSP00000158009 | FNDC8 | 324
9606.ENSP00000158762 | ACAP1 | 740
9606.ENSP00000158771 | DERL2 | 239
9606.ENSP00000159060 | NOX3 | 568
9606.ENSP00000159087 | ANO8 | 1232
9606.ENSP00000159111 | KDM4B | 1096
9606.ENSP00000160262 | ICAM3 | 547
9606.ENSP00000160373 | CTTNBP2 | 1663
9606.ENSP00000160382 | ACTL6B | 426
9606.ENSP00000160827 | KIF22 | 665
9606.ENSP00000161006 | PRSS22 | 317
9606.ENSP00000161559 | CEACAM1 | 526
9606.ENSP00000161863 | YTHDC2 | 1430
9606.ENSP00000162044 | TMEM161A | 479
9606.ENSP00000162391 | FOXJ2 | 574
9606.ENSP00000162749 | TNFRSF1A | 455
9606.ENSP00000163416 | GOLGA5 | 731
9606.ENSP00000164024 | CELSR3 | 3312
9606.ENSP00000164133 | PPP2R5B | 497
9606.ENSP00000164139 | PYGM | 842
9606.ENSP00000164227 | BCL3 | 454
9606.ENSP00000164305 | PIGB | 554
9606.ENSP00000165524 | PRLH | 87
9606.ENSP00000166139 | FSTL3 | 263
9606.ENSP00000166244 | EPHA8 | 1005
9606.ENSP00000166345 | TRIP13 | 432
9606.ENSP00000167106 | VASH1 | 365
9606.ENSP00000167586 | KRT14 | 472
9606.ENSP00000167588 | KRT20 | 424
9606.ENSP00000168148 | SPP2 | 211
9606.ENSP00000168216 | HSD17B10 | 261
9606.ENSP00000168712 | FGF4 | 206
9606.ENSP00000169298 | ST6GAL1 | 406
9606.ENSP00000169551 | TIMM21 | 248
9606.ENSP00000170150 | BPIFB2 | 458
9606.ENSP00000170168 | REXO1 | 1221
9606.ENSP00000170447 | MKRN2 | 416
9606.ENSP00000170564 | GPATCH1 | 931
9606.ENSP00000171757 | P2RY10 | 339
9606.ENSP00000171887 | TNS1 | 1735
9606.ENSP00000172229 | NGFR | 427
9606.ENSP00000173229 | NTN1 | 604
9606.ENSP00000173527 | ISOC1 | 298
9606.ENSP00000173898 | TRO | 1431
9606.ENSP00000174618 | MNT | 582
9606.ENSP00000175091 | LAPTM4A | 233
9606.ENSP00000175238 | ADAM7 | 754
9606.ENSP00000175756 | PTPN18 | 460
9606.ENSP00000176183 | DRD4 | 419
9606.ENSP00000176195 | SCT | 121
9606.ENSP00000176763 | STK10 | 968
9606.ENSP00000177694 | TBX21 | 535
9606.ENSP00000177742 | MRPS34 | 225
9606.ENSP00000178638 | CA12 | 354
9606.ENSP00000178640 | MAP2K5 | 448
9606.ENSP00000179259 | TIGAR | 270
9606.ENSP00000180166 | FGF20 | 211
9606.ENSP00000180173 | MTMR7 | 660
9606.ENSP00000181383 | CPB2 | 423
9606.ENSP00000181796 | FAM107B | 306
9606.ENSP00000181839 | CDK13 | 1512
9606.ENSP00000182290 | TSPAN32 | 320
9606.ENSP00000182527 | TRAM2 | 370
9606.ENSP00000184183 | ROPN1 | 212
9606.ENSP00000184266 | NDUFB4 | 129
9606.ENSP00000184956 | HEATR6 | 1181
9606.ENSP00000185150 | ERLEC1 | 483
9606.ENSP00000185206 | CLIC5 | 410
9606.ENSP00000186436 | TMEM131 | 1883
9606.ENSP00000187762 | TMEM38A | 299
9606.ENSP00000188312 | ACTR6 | 396
9606.ENSP00000188790 | FAP | 760
9606.ENSP00000190165 | DMRT3 | 472
9606.ENSP00000192314 | GAL3ST2 | 398
9606.ENSP00000192788 | UHRF1BP1 | 1440
9606.ENSP00000193322 | OSTM1 | 334
9606.ENSP00000193391 | IMPG2 | 1241
9606.ENSP00000194130 | SLC13A1 | 595
9606.ENSP00000194152 | PCDHB4 | 795
9606.ENSP00000194155 | PCDHB2 | 798
9606.ENSP00000194214 | HSPB11 | 144
9606.ENSP00000194530 | STRADB | 418
9606.ENSP00000196061 | PLOD1 | 727
9606.ENSP00000196371 | OXCT1 | 520
9606.ENSP00000196489 | ZNF416 | 594
9606.ENSP00000197268 | FAM234B | 622
9606.ENSP00000198536 | PILRA | 303
9606.ENSP00000198767 | RRN3 | 651
9606.ENSP00000198801 | MOGAT2 | 334
9606.ENSP00000199280 | AQP2 | 271
9606.ENSP00000199320 | DIMT1 | 313
9606.ENSP00000199389 | EIF2AK1 | 630
9606.ENSP00000199447 | NME8 | 588
9606.ENSP00000199448 | EPDR1 | 224
9606.ENSP00000199708 | HBQ1 | 142
9606.ENSP00000199764 | CEACAM6 | 344
9606.ENSP00000199814 | RBM22 | 420
9606.ENSP00000199936 | HSD17B2 | 387
9606.ENSP00000200135 | ZW10 | 779
9606.ENSP00000200181 | ITGB4 | 1822
9606.ENSP00000200453 | PPP1R15A | 674
9606.ENSP00000200457 | TRIP6 | 476
9606.ENSP00000200557 | ADAM11 | 769
9606.ENSP00000200652 | SLC22A4 | 551
9606.ENSP00000200676 | CETP | 493
9606.ENSP00000200691 | MT3 | 68
9606.ENSP00000201031 | TFAP2C | 450
9606.ENSP00000201586 | SULT2B1 | 365
9606.ENSP00000201647 | EPS8L1 | 723
9606.ENSP00000201979 | REM1 | 298
9606.ENSP00000202017 | PDRG1 | 133
9606.ENSP00000202556 | PPP1R13B | 1090
9606.ENSP00000202625 | TGM6 | 706
9606.ENSP00000202677 | RALGAPA2 | 1873
9606.ENSP00000202816 | ESF1 | 851
9606.ENSP00000202967 | SIRT4 | 314
9606.ENSP00000203001 | TRMT6 | 497
9606.ENSP00000203407 | UQCRC1 | 480
9606.ENSP00000203556 | GMIP | 970
9606.ENSP00000203629 | LAG3 | 525
9606.ENSP00000203630 | MLF2 | 248
9606.ENSP00000203664 | OTUB2 | 234
9606.ENSP00000204517 | TFAP4 | 338
9606.ENSP00000204549 | PDCD7 | 485
9606.ENSP00000204566 | SPG21 | 308
9606.ENSP00000204604 | CHRD | 955
9606.ENSP00000204679 | GNPTG | 305
9606.ENSP00000204726 | GOLGA3 | 1498
9606.ENSP00000204961 | EFNB1 | 346
9606.ENSP00000205061 | GLG1 | 1203
9606.ENSP00000205143 | DLL3 | 618
9606.ENSP00000205194 | NAT14 | 206
9606.ENSP00000205214 | AASDH | 1098
9606.ENSP00000205402 | DLD | 509
9606.ENSP00000205557 | ABCC6 | 1503
9606.ENSP00000205636 | CMTM6 | 183
9606.ENSP00000205948 | APOH | 345
9606.ENSP00000206020 | SPAG7 | 227
9606.ENSP00000206262 | RGS17 | 210
9606.ENSP00000206423 | CCDC80 | 950
9606.ENSP00000206474 | HAUS4 | 363
9606.ENSP00000206513 | CEBPE | 281
9606.ENSP00000206542 | OSGEP | 335
9606.ENSP00000206595 | G2E3 | 706
9606.ENSP00000206765 | TGM1 | 817
9606.ENSP00000207457 | TEKT2 | 430
9606.ENSP00000207549 | UNC13D | 1090
9606.ENSP00000207870 | XYLB | 536
9606.ENSP00000209668 | ADH1A | 375
9606.ENSP00000209718 | KRT23 | 422
9606.ENSP00000209728 | CDC6 | 560
9606.ENSP00000209873 | AAAS | 546
9606.ENSP00000209875 | CBX5 | 191
9606.ENSP00000209884 | KLHL20 | 609
9606.ENSP00000209929 | FMO2 | 535
9606.ENSP00000210060 | DHPS | 369
9606.ENSP00000210187 | RAB26 | 256
9606.ENSP00000210313 | PSMD5 | 504
9606.ENSP00000210444 | NANS | 359
9606.ENSP00000210633 | SEMA4G | 843
9606.ENSP00000211076 | TPSD1 | 242
9606.ENSP00000211122 | GSTA3 | 222
9606.ENSP00000211287 | MAPK13 | 365
9606.ENSP00000211314 | TMEM14A | 99
9606.ENSP00000211413 | PRRT1 | 306
9606.ENSP00000211936 | ZNF184 | 751
9606.ENSP00000211998 | VCL | 1134
9606.ENSP00000212015 | SIRT1 | 747
9606.ENSP00000212355 | TGFBR3 | 851
9606.ENSP00000214869 | TMED1 | 227
9606.ENSP00000215057 | MZF1 | 734
9606.ENSP00000215061 | OCEL1 | 264
9606.ENSP00000215071 | PSMD8 | 350
9606.ENSP00000215095 | STX1B | 288
9606.ENSP00000215368 | EFNA2 | 213
9606.ENSP00000215375 | ATP5F1D | 168
9606.ENSP00000215530 | FGF22 | 170
9606.ENSP00000215531 | SMIM24 | 130
9606.ENSP00000215565 | NDUFB7 | 137
9606.ENSP00000215567 | TECR | 308
9606.ENSP00000215570 | TIMM13 | 95
9606.ENSP00000215574 | CDC34 | 236
9606.ENSP00000215582 | MISP | 679
9606.ENSP00000215631 | GADD45B | 160
9606.ENSP00000215637 | MADCAM1 | 382
9606.ENSP00000215659 | MAPK12 | 367
9606.ENSP00000215727 | SERPIND1 | 499
9606.ENSP00000215730 | SNAP29 | 258
9606.ENSP00000215742 | THAP7 | 309
9606.ENSP00000215743 | MMP11 | 488
9606.ENSP00000215754 | MIF | 115
9606.ENSP00000215770 | DDTL | 134
9606.ENSP00000215781 | OSM | 252
9606.ENSP00000215793 | SF3A1 | 793
9606.ENSP00000215794 | USP18 | 372
9606.ENSP00000215812 | SEC14L3 | 400
9606.ENSP00000215829 | SNRPD3 | 126
9606.ENSP00000215832 | MAPK1 | 360
9606.ENSP00000215838 | TCN2 | 427
9606.ENSP00000215855 | CRYBB3 | 211
9606.ENSP00000215882 | SLC25A1 | 311
9606.ENSP00000215885 | PLA2G3 | 509
9606.ENSP00000215886 | LGALS2 | 132
9606.ENSP00000215904 | PDXP | 296
9606.ENSP00000215906 | ASPHD2 | 369
9606.ENSP00000215909 | LGALS1 | 135
9606.ENSP00000215912 | PIK3IP1 | 263
9606.ENSP00000215917 | SRRD | 339
9606.ENSP00000215941 | ANKRD54 | 300
9606.ENSP00000215957 | MICALL1 | 863
9606.ENSP00000215980 | CENPM | 180
9606.ENSP00000216024 | DMC1 | 340
9606.ENSP00000216027 | HSCB | 235
9606.ENSP00000216034 | TOMM22 | 142
9606.ENSP00000216036 | RSPH14 | 348
9606.ENSP00000216037 | XBP1 | 261
9606.ENSP00000216038 | RTCB | 505
9606.ENSP00000216039 | JOSD1 | 202
9606.ENSP00000216044 | GTPBP1 | 669
9606.ENSP00000216068 | DNAL4 | 105
9606.ENSP00000216071 | C22orf31 | 290
9606.ENSP00000216075 | MIOX | 285
9606.ENSP00000216085 | RHBDD3 | 386
9606.ENSP00000216099 | APOBEC3D | 386
9606.ENSP00000216101 | RASL10A | 203
9606.ENSP00000216106 | HMGXB4 | 601
9606.ENSP00000216115 | BIK | 160
9606.ENSP00000216117 | HMOX1 | 288
9606.ENSP00000216121 | NIPSNAP1 | 284
9606.ENSP00000216122 | MCM5 | 734
9606.ENSP00000216124 | ARSA | 509
9606.ENSP00000216127 | RASD2 | 266
9606.ENSP00000216129 | TTLL12 | 644
9606.ENSP00000216133 | CBX7 | 251
9606.ENSP00000216139 | ACR | 421
9606.ENSP00000216144 | CABP7 | 215
9606.ENSP00000216160 | TAB1 | 504
9606.ENSP00000216177 | PNPLA5 | 429
9606.ENSP00000216180 | PNPLA3 | 481
9606.ENSP00000216181 | MYH9 | 1960
9606.ENSP00000216185 | TXN2 | 166
9606.ENSP00000216190 | EIF3D | 548
9606.ENSP00000216200 | PVALB | 110
9606.ENSP00000216211 | UPK3A | 287
9606.ENSP00000216214 | FAM118A | 357
9606.ENSP00000216218 | ST13 | 369
9606.ENSP00000216223 | IL2RB | 551
9606.ENSP00000216225 | RBX1 | 108
9606.ENSP00000216237 | L3MBTL2 | 705
9606.ENSP00000216241 | CHADL | 762
9606.ENSP00000216252 | PHF5A | 110
9606.ENSP00000216254 | ACO2 | 780
9606.ENSP00000216259 | PMM1 | 262
9606.ENSP00000216264 | CERK | 537
9606.ENSP00000216268 | ZBED4 | 1171
9606.ENSP00000216271 | HDAC10 | 669
9606.ENSP00000216274 | RIPK3 | 518
9606.ENSP00000216277 | PAPOLA | 745
9606.ENSP00000216286 | NID2 | 1375
9606.ENSP00000216294 | SNAPC1 | 368
9606.ENSP00000216297 | SUPT16H | 1047
9606.ENSP00000216330 | FKBP3 | 224
9606.ENSP00000216336 | CTSG | 255
9606.ENSP00000216338 | GZMH | 246
9606.ENSP00000216341 | GZMB | 247
9606.ENSP00000216361 | COCH | 615
9606.ENSP00000216366 | AP4S1 | 159
9606.ENSP00000216367 | POLE2 | 527
9606.ENSP00000216373 | SOS2 | 1332
9606.ENSP00000216392 | PYGL | 847
9606.ENSP00000216410 | GNPNAT1 | 184
9606.ENSP00000216416 | CNIH1 | 144
9606.ENSP00000216420 | CGRRF1 | 332
9606.ENSP00000216442 | ATP6V1D | 247
9606.ENSP00000216446 | PLEK2 | 353
9606.ENSP00000216452 | PIGH | 188
9606.ENSP00000216455 | PSMA3 | 255
9606.ENSP00000216468 | TMED8 | 325
9606.ENSP00000216471 | SAMD15 | 674
9606.ENSP00000216479 | AHSA1 | 338
9606.ENSP00000216484 | SPTLC2 | 562
9606.ENSP00000216487 | RIN3 | 985
9606.ENSP00000216489 | ALKBH1 | 389
9606.ENSP00000216492 | CHGA | 457
9606.ENSP00000216500 | DHRS7 | 339
9606.ENSP00000216513 | SIX4 | 781
9606.ENSP00000216540 | SLC10A1 | 349
9606.ENSP00000216554 | EIF5 | 431
9606.ENSP00000216602 | ZFYVE21 | 252
9606.ENSP00000216629 | BDKRB1 | 353
9606.ENSP00000216639 | VRK1 | 396
9606.ENSP00000216714 | APEX1 | 318
9606.ENSP00000216727 | PABPN1 | 306
9606.ENSP00000216733 | EFS | 561
9606.ENSP00000216756 | CINP | 212
9606.ENSP00000216780 | PCK2 | 640
9606.ENSP00000216797 | NFKBIA | 317
9606.ENSP00000216802 | PSME2 | 239
9606.ENSP00000216807 | BRMS1L | 323
9606.ENSP00000216832 | PNN | 717
9606.ENSP00000216862 | CYP24A1 | 514
9606.ENSP00000216911 | AURKA | 403
9606.ENSP00000216923 | ZFP64 | 681
9606.ENSP00000216962 | PYGB | 843
9606.ENSP00000216968 | PROCR | 238
9606.ENSP00000217026 | MYBL2 | 700
9606.ENSP00000217043 | R3HDML | 253
9606.ENSP00000217086 | SALL4 | 1053
9606.ENSP00000217109 | CSTF1 | 431
9606.ENSP00000217121 | TPD52L2 | 229
9606.ENSP00000217131 | CTSZ | 303
9606.ENSP00000217133 | TUBB1 | 451
9606.ENSP00000217159 | SLCO4A1 | 722
9606.ENSP00000217169 | BIRC7 | 298
9606.ENSP00000217173 | UBOX5 | 541
9606.ENSP00000217182 | EEF1A2 | 463
9606.ENSP00000217188 | SRMS | 488
9606.ENSP00000217195 | C20orf27 | 199
9606.ENSP00000217244 | CSNK2A1 | 391
9606.ENSP00000217246 | MACROD2 | 425
9606.ENSP00000217260 | RSPO4 | 234
9606.ENSP00000217270 | PROKR2 | 384
9606.ENSP00000217289 | FERMT1 | 677
9606.ENSP00000217320 | TLDC2 | 215
9606.ENSP00000217372 | CDK5RAP1 | 587
9606.ENSP00000217381 | SNTA1 | 505
9606.ENSP00000217386 | OXT | 125
9606.ENSP00000217402 | CHMP4B | 224
9606.ENSP00000217407 | LBP | 481
9606.ENSP00000217420 | SLC32A1 | 525
9606.ENSP00000217423 | CST4 | 141
9606.ENSP00000217426 | AHCY | 432
9606.ENSP00000217428 | SPINT3 | 89
9606.ENSP00000217446 | PIGU | 435
9606.ENSP00000217455 | ACOT8 | 319
9606.ENSP00000217456 | APMAP | 416
9606.ENSP00000217515 | TXNL1 | 289
9606.ENSP00000217740 | RNF125 | 232
9606.ENSP00000217901 | IDH3G | 393
9606.ENSP00000217909 | SLC25A43 | 341
9606.ENSP00000217939 | MXRA5 | 2828
9606.ENSP00000217958 | PSMD10 | 226
9606.ENSP00000217961 | STS | 583
9606.ENSP00000217971 | PGRMC1 | 195
9606.ENSP00000217999 | RHOXF1 | 184
9606.ENSP00000218004 | NXT2 | 197
9606.ENSP00000218006 | GUCY2F | 1108
9606.ENSP00000218008 | ATP1B4 | 357
9606.ENSP00000218068 | PAGE4 | 102
9606.ENSP00000218075 | GLRA2 | 452
9606.ENSP00000218089 | STAG2 | 1268
9606.ENSP00000218099 | F9 | 461
9606.ENSP00000218104 | ABCD1 | 745
9606.ENSP00000218176 | KCND1 | 647
9606.ENSP00000218230 | PCSK1N | 260
9606.ENSP00000218249 | RAB40AL | 278
9606.ENSP00000218316 | GPR50 | 617
9606.ENSP00000218340 | RP2 | 350
9606.ENSP00000218348 | USP11 | 963
9606.ENSP00000218388 | TIMP1 | 207
9606.ENSP00000218436 | ITIH6 | 1313
9606.ENSP00000218516 | GLA | 429
9606.ENSP00000218548 | ATP12A | 1045
9606.ENSP00000218721 | MLNR | 412
9606.ENSP00000218758 | ACP5 | 325
9606.ENSP00000218867 | SGCG | 291
9606.ENSP00000219022 | OLFM4 | 510
9606.ENSP00000219066 | NTHL1 | 312
9606.ENSP00000219069 | ZNF263 | 683
9606.ENSP00000219070 | MMP2 | 660
9606.ENSP00000219097 | ORC6 | 252
9606.ENSP00000219139 | C16orf70 | 422
9606.ENSP00000219150 | CORO1A | 461
9606.ENSP00000219162 | MT4 | 62
9606.ENSP00000219169 | NUTF2 | 127
9606.ENSP00000219197 | CBLN1 | 193
9606.ENSP00000219204 | ARL2BP | 163
9606.ENSP00000219207 | PLLP | 182
9606.ENSP00000219235 | CCL22 | 93
9606.ENSP00000219240 | DHODH | 395
9606.ENSP00000219244 | CCL17 | 94
9606.ENSP00000219252 | POLR2C | 275
9606.ENSP00000219255 | PARD6A | 346
9606.ENSP00000219271 | MMP15 | 669
9606.ENSP00000219281 | USB1 | 265
9606.ENSP00000219299 | CCDC113 | 377
9606.ENSP00000219301 | PRSS54 | 395
9606.ENSP00000219302 | NME3 | 169
9606.ENSP00000219313 | PSMD7 | 324
9606.ENSP00000219315 | SETD6 | 473
9606.ENSP00000219334 | SMPD3 | 655
9606.ENSP00000219345 | PLA2G15 | 412
9606.ENSP00000219368 | FA2H | 372
9606.ENSP00000219400 | CMC2 | 79
9606.ENSP00000219406 | PDIA2 | 525
9606.ENSP00000219409 | ARHGDIG | 225
9606.ENSP00000219431 | MPG | 298
9606.ENSP00000219439 | HSDL1 | 330
9606.ENSP00000219476 | TSC2 | 1807
9606.ENSP00000219478 | ZNF500 | 480
9606.ENSP00000219479 | NME4 | 187
9606.ENSP00000219481 | DECR2 | 292
9606.ENSP00000219548 | STUB1 | 303
9606.ENSP00000219551 | RHBDL1 | 438
9606.ENSP00000219596 | MEFV | 781
9606.ENSP00000219599 | CRYM | 314
9606.ENSP00000219611 | CAPN15 | 1086
9606.ENSP00000219660 | AQP8 | 261
9606.ENSP00000219689 | USP31 | 1352
9606.ENSP00000219746 | TOX3 | 576
9606.ENSP00000219782 | MAZ | 493
9606.ENSP00000219789 | CDIPT | 213
9606.ENSP00000219833 | SLC6A2 | 628
9606.ENSP00000219837 | KNOP1 | 458
9606.ENSP00000219905 | MGA | 3065
9606.ENSP00000219919 | AQP9 | 295
9606.ENSP00000220003 | CSK | 450
9606.ENSP00000220058 | MTFMT | 389
9606.ENSP00000220062 | RASL12 | 266
9606.ENSP00000220166 | CTSH | 335
9606.ENSP00000220325 | EHD4 | 541
9606.ENSP00000220420 | TGM5 | 720
9606.ENSP00000220429 | GABPB1 | 395
9606.ENSP00000220478 | SCG3 | 468
9606.ENSP00000220496 | DNAJC17 | 304
9606.ENSP00000220507 | RHOV | 236
9606.ENSP00000220509 | VPS18 | 973
9606.ENSP00000220514 | OIP5 | 229
9606.ENSP00000220562 | EXTL3 | 919
9606.ENSP00000220592 | AGO2 | 859
9606.ENSP00000220597 | PAG1 | 432
9606.ENSP00000220616 | TG | 2768
9606.ENSP00000220659 | BRF2 | 419
9606.ENSP00000220669 | ZFAND1 | 268
9606.ENSP00000220676 | RP1 | 2156
9606.ENSP00000220751 | RIPK2 | 540
9606.ENSP00000220763 | CPQ | 472
9606.ENSP00000220764 | DECR1 | 335
9606.ENSP00000220772 | SFRP1 | 314
9606.ENSP00000220809 | PLAT | 562
9606.ENSP00000220812 | DKK4 | 224
9606.ENSP00000220822 | GDAP1 | 358
9606.ENSP00000220849 | EIF3E | 445
9606.ENSP00000220853 | EMC2 | 297
9606.ENSP00000220913 | CHRAC1 | 131
9606.ENSP00000220940 | GML | 158
9606.ENSP00000220966 | PYCR3 | 286
9606.ENSP00000221086 | MTMR9 | 549
9606.ENSP00000221114 | DCTN6 | 190
9606.ENSP00000221130 | GSR | 522
9606.ENSP00000221132 | TNFRSF10A | 468
9606.ENSP00000221138 | PPP2CB | 309
9606.ENSP00000221166 | NEFM | 916
9606.ENSP00000221200 | KCTD9 | 389
9606.ENSP00000221233 | EXOSC5 | 235
9606.ENSP00000221265 | PAF1 | 531
9606.ENSP00000221307 | CYP4F3 | 520
9606.ENSP00000221315 | ZNF432 | 652
9606.ENSP00000221327 | ZNF180 | 692
9606.ENSP00000221399 | TULP2 | 520
9606.ENSP00000221403 | DHDH | 334
9606.ENSP00000221418 | ECH1 | 328
9606.ENSP00000221419 | HNRNPL | 589
9606.ENSP00000221444 | KCNA7 | 456
9606.ENSP00000221452 | RELB | 579
9606.ENSP00000221455 | CLASRP | 674
9606.ENSP00000221459 | LIN7B | 207
9606.ENSP00000221462 | PPP1R37 | 691
9606.ENSP00000221476 | CKM | 381
9606.ENSP00000221480 | PEX11G | 241
9606.ENSP00000221485 | SLC17A7 | 560
9606.ENSP00000221486 | RNASEH2A | 299
9606.ENSP00000221494 | SF3A2 | 464
9606.ENSP00000221496 | AMH | 560
9606.ENSP00000221498 | DKKL1 | 242
9606.ENSP00000221515 | RETN | 108
9606.ENSP00000221538 | RSPH6A | 717
9606.ENSP00000221543 | TBC1D17 | 648
9606.ENSP00000221561 | TLE5 | 264
9606.ENSP00000221566 | SGTA | 313
9606.ENSP00000221573 | SNAPC2 | 334
9606.ENSP00000221665 | FIZ1 | 496
9606.ENSP00000221671 | C19orf44 | 657
9606.ENSP00000221700 | CYP4F2 | 520
9606.ENSP00000221730 | EPHX3 | 360
9606.ENSP00000221742 | SLC1A6 | 564
9606.ENSP00000221797 | LGALS13 | 139
9606.ENSP00000221801 | FBL | 321
9606.ENSP00000221804 | CLC | 142
9606.ENSP00000221847 | EBI3 | 229
9606.ENSP00000221855 | TBCB | 244
