partner_id,partner_name,gene_name,uniprot_id,genbank_gene_id,genbank_protein_id,hgnc_id,organism,taxonomy_id
BE0000078,Retinoic acid receptor RXR-beta,RXRB,P28702,X63522,30448,HGNC:10478,Humans,9606
BE0000079,Cysteine sulfinic acid decarboxylase,CSAD,Q9Y600,AF116546,4894558,HGNC:18966,Humans,9606
BE0000080,Tryptophan 5-hydroxylase 2,TPH2,Q8IWU9,AY098914,27497159,HGNC:20692,Humans,9606
BE0000081,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,O95299,AF087661,4191348,HGNC:7684,Humans,9606
BE0000082,Creatine kinase B-type,CKB,P12277,M16451,180572,HGNC:1991,Humans,9606
BE0000083,CAMPATH-1 antigen,CD52,P31358,X62466,29646,HGNC:1804,Humans,9606
BE0000084,5-hydroxytryptamine receptor 4,HTR4,Q13639,Y12505,2661757,HGNC:5299,Humans,9606
BE0000085,Ferritin light chain,FTL,P02792,M11147,182514,HGNC:3999,Humans,9606
BE0000086,Histidine ammonia-lyase,HAL,P42357,D16626,451210,HGNC:4806,Humans,9606
BE0000087,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,Q02809,L06419,190074,HGNC:9081,Humans,9606
BE0000088,Pyruvate kinase PKM,PKM,P14618,M23725,189998,HGNC:9021,Humans,9606
BE0000089,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,O43920,AF047434,2911482,HGNC:7712,Humans,9606
BE0000090,Potassium voltage-gated channel subfamily H member 2,KCNH2,Q12809,U04270,487738,HGNC:6251,Humans,9606
BE0000091,"DNA topoisomerase I, mitochondrial",TOP1MT,Q969P6,AF349031,15919359,HGNC:29787,Humans,9606
BE0000092,Muscarinic acetylcholine receptor M1,CHRM1,P11229,X52068,34451,HGNC:1950,Humans,9606
BE0000093,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,O75380,AF044959,3348137,HGNC:7713,Humans,9606
BE0000094,Sodium-dependent multivitamin transporter,SLC5A6,Q9Y289,AF116241,5006439,HGNC:11041,Humans,9606
BE0000095,Cannabinoid receptor 2,CNR2,P34972,X74328,407807,HGNC:2160,Humans,9606
BE0000096,Methylsterol monooxygenase 1,MSMO1,Q15800,U60205,1408206,HGNC:10545,Humans,9606
BE0000097,Mitochondrial carnitine/acylcarnitine carrier protein CACL,SLC25A29,Q8N8R3,BX247983,28193150,HGNC:20116,Humans,9606
BE0000098,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,P11177,M34479,189760,HGNC:8808,Humans,9606
BE0000099,Cysteinyl leukotriene receptor 2,CYSLTR2,Q9NS75,AB038269,9663958,HGNC:18274,Humans,9606
BE0000100,L-lactate dehydrogenase A-like 6B,LDHAL6B,Q9BYZ2,AY009108,12331000,HGNC:21481,Humans,9606
BE0000101,S-adenosylmethionine decarboxylase proenzyme,AMD1,P17707,M21154,178518,HGNC:457,Humans,9606
BE0000102,"Alanine--glyoxylate aminotransferase 2, mitochondrial",AGXT2,Q9BYV1,AJ292204,12406973,HGNC:14412,Humans,9606
BE0000104,Ketimine reductase mu-crystallin,CRYM,Q14894,L02950,1066343,HGNC:2418,Humans,9606
BE0000105,Sterol O-acyltransferase 1,SOAT1,P35610,L21934,4878022,HGNC:11177,Humans,9606
BE0000106,Solute carrier family 22 member 5,SLC22A5,O76082,AF057164,3273741,HGNC:10969,Humans,9606
BE0000107,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,P13688,J03858,179440,HGNC:1814,Humans,9606
BE0000109,N-acylglucosamine 2-epimerase,RENBP,P51606,D10232,220053,HGNC:9959,Humans,9606
BE0000110,P2Y purinoceptor 12,P2RY12,Q9H244,AF313449,12083902,HGNC:18124,Humans,9606
BE0000111,Diamine acetyltransferase 1,SAT1,P21673,M77693,338392,HGNC:10540,Humans,9606
BE0000112,Histamine H2 receptor,HRH2,P25021,M64799,184088,HGNC:5183,Humans,9606
BE0000113,DNA polymerase beta,POLB,P06746,L11607,292397,HGNC:9174,Humans,9606
BE0000115,Adenine phosphoribosyltransferase,APRT,P07741,Y00486,28819,HGNC:626,Humans,9606
BE0000117,Prostacyclin synthase,PTGIS,Q16647,D38145,10944956,HGNC:9603,Humans,9606
BE0000118,Synaptic vesicular amine transporter,SLC18A2,Q05940,L09118,292335,HGNC:10935,Humans,9606
BE0000119,ATP-binding cassette sub-family A member 1,ABCA1,O95477,AF275948,9247086,HGNC:29,Humans,9606
BE0000121,Tryptophan 5-hydroxylase 1,TPH1,P17752,X52836,37955,HGNC:12008,Humans,9606
BE0000123,Estrogen receptor alpha,ESR1,P03372,X03635,31234,HGNC:3467,Humans,9606
BE0000125,Interleukin-3,IL3,P08700,M14743,307059,HGNC:6011,Humans,9606
BE0000126,Aldo-keto reductase family 1 member C1,AKR1C1,Q04828,M86609,181549,HGNC:384,Humans,9606
BE0000128,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,P31937,AC007130,,HGNC:4907,Humans,9606
BE0000129,Gamma-aminobutyric acid receptor subunit rho-1,GABRR1,P24046,M62400,182911,HGNC:4090,Humans,9606
BE0000130,Hemoglobin subunit alpha,HBA1,P69905,J00153,386764,HGNC:4823,Humans,9606
BE0000131,Corticosteroid 11-beta-dehydrogenase isozyme 2,HSD11B2,P80365,U14631,565082,HGNC:5209,Humans,9606
BE0000132,Androgen receptor,AR,P10275,M20132,178628,HGNC:644,Humans,9606
BE0000133,"Aldehyde dehydrogenase, mitochondrial",ALDH2,P05091,X05409,28606,HGNC:404,Humans,9606
BE0000134,Lutropin-choriogonadotropic hormone receptor,LHCGR,P22888,M73746,903746,HGNC:6585,Humans,9606
BE0000135,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,P49419,S74728,797410,HGNC:877,Humans,9606
BE0000136,Cationic amino acid transporter 3,SLC7A3,Q8WY07,AF320612,17224957,HGNC:11061,Humans,9606
BE0000137,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2,P19404,M22538,188852,HGNC:7717,Humans,9606
BE0000138,Dopamine beta-hydroxylase,DBH,P09172,X13255,30474,HGNC:2689,Humans,9606
BE0000139,AFG3-like protein 2,AFG3L2,Q9Y4W6,Y18314,5457357,HGNC:315,Humans,9606
BE0000140,Solute carrier family 12 member 6,SLC12A6,Q9UHW9,AF116242,6693798,HGNC:10914,Humans,9606
BE0000141,Sodium channel protein type 1 subunit alpha,SCN1A,P35498,AF225985,12642270,HGNC:10585,Humans,9606
BE0000143,Tubulin beta chain,TUBB,P07437,J00314,338695,HGNC:20778,Humans,9606
BE0000144,Retinoic acid receptor gamma,RARG,P13631,M24857,306887,HGNC:9866,Humans,9606
BE0000145,Dopamine D5 receptor,DRD5,P21918,X58454,32049,HGNC:3026,Humans,9606
BE0000146,Histamine H4 receptor,HRH4,Q9H3N8,AB044934,10241847,HGNC:17383,Humans,9606
BE0000147,Receptor-type tyrosine-protein kinase FLT3,FLT3,P36888,U02687,409573,HGNC:3765,Humans,9606
BE0000148,"NAD-dependent malic enzyme, mitochondrial",ME2,P23368,M55905,187300,HGNC:6984,Humans,9606
BE0000149,L-lactate dehydrogenase C chain,LDHC,P07864,J02938,307120,HGNC:6544,Humans,9606
BE0000151,"Cysteine desulfurase, mitochondrial",NFS1,Q9Y697,AF097025,24042327,HGNC:15910,Humans,9606
BE0000152,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,P51649,Y11192,3766467,HGNC:408,Humans,9606
BE0000154,Potassium channel subfamily K member 1,KCNK1,O00180,U33632,1086491,HGNC:6272,Humans,9606
BE0000155,Toll-like receptor 7,TLR7,Q9NYK1,AF240467,7330281,HGNC:15631,Humans,9606
BE0000156,Sigma non-opioid intracellular receptor 1,SIGMAR1,Q99720,U75283,1783387,HGNC:8157,Humans,9606
BE0000157,Thiamin pyrophosphokinase 1,TPK1,Q9H3S4,AB028138,12248915,HGNC:17358,Humans,9606
BE0000159,Biotin--protein ligase,HLCS,P50747,D23672,577625,HGNC:4976,Humans,9606
BE0000160,NADH-cytochrome b5 reductase 3,CYB5R3,P00387,M28713,553600,HGNC:2873,Humans,9606
BE0000161,D-3-phosphoglycerate dehydrogenase,PHGDH,O43175,AF006043,2674062,HGNC:8923,Humans,9606
BE0000162,"2-oxoglutarate dehydrogenase, mitochondrial",OGDH,Q02218,D10523,531241,HGNC:8124,Humans,9606
BE0000163,Vascular endothelial growth factor A,VEGFA,P15692,M32977,181971,HGNC:12680,Humans,9606
BE0000164,L-serine dehydratase/L-threonine deaminase,SDS,P20132,J05037,338030,HGNC:10691,Humans,9606
BE0000165,Vasopressin V1a receptor,AVPR1A,P37288,L25615,667068,HGNC:895,Humans,9606
BE0000166,Glutamate--cysteine ligase catalytic subunit,GCLC,P48506,M90656,183039,HGNC:4311,Humans,9606
BE0000167,DNA ligase 3,LIG3,P49916,X84740,860963,HGNC:6600,Humans,9606
BE0000168,Solute carrier family 23 member 1,SLC23A1,Q9UHI7,AF058317,3789785,HGNC:10974,Humans,9606
BE0000169,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,NDUFA4,O00483,U94586,1946692,HGNC:7687,Humans,9606
BE0000170,Mitochondrial peptide methionine sulfoxide reductase,MSRA,Q9UJ68,AJ242973,6136945,HGNC:7377,Humans,9606
BE0000171,"Creatine kinase U-type, mitochondrial",CKMT1A,P12532,J04469,180590,HGNC:31736,Humans,9606
BE0000172,Beta-1 adrenergic receptor,ADRB1,P08588,J03019,178200,HGNC:285,Humans,9606
BE0000173,NADH dehydrogenase [ubiquinone] 1 subunit C2,NDUFC2,O95298,AF087659,4191346,HGNC:7706,Humans,9606
BE0000174,Monocarboxylate transporter 7,SLC16A6,O15403,U79745,2463632,HGNC:10927,Humans,9606
BE0000175,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH1,Q02338,M93107,177198,HGNC:1027,Humans,9606
BE0000176,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,P31040,D30648,506338,HGNC:10680,Humans,9606
BE0000177,Sodium channel protein type 10 subunit alpha,SCN10A,Q9Y5Y9,AF117907,4838145,HGNC:10582,Humans,9606
BE0000178,Monocarboxylate transporter 8,SLC16A2,P36021,U05321,458255,HGNC:10923,Humans,9606
BE0000179,"Carnitine O-palmitoyltransferase 2, mitochondrial",CPT2,P23786,U09648,1041195,HGNC:2330,Humans,9606
BE0000180,"Glutamate dehydrogenase 1, mitochondrial",GLUD1,P00367,X07674,31707,HGNC:4335,Humans,9606
BE0000181,Pyridoxine-5'-phosphate oxidase,PNPO,Q9NVS9,AF468030,21728336,HGNC:30260,Humans,9606
BE0000182,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,O76074,AF043731,3420185,HGNC:8784,Humans,9606
BE0000183,B-cell receptor CD22,CD22,P20273,X59350,36091,HGNC:1643,Humans,9606
BE0000184,3-keto-steroid reductase,HSD17B7,P56937,AF098786,6721095,HGNC:5215,Humans,9606
BE0000185,Glutathione synthetase,GSS,P48637,L42531,886284,HGNC:4624,Humans,9606
BE0000187,Aspartoacylase,ASPA,P45381,S67156,455834,HGNC:756,Humans,9606
BE0000188,Bifunctional glutamate/proline--tRNA ligase,EPRS,P07814,X54326,31958,HGNC:3418,Humans,9606
BE0000189,Scavenger receptor class B member 1,SCARB1,Q8WTV0,Z22555,397607,HGNC:1664,Humans,9606
BE0000190,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,P37088,X76180,452650,HGNC:10599,Humans,9606
BE0000191,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,O75489,AF067139,3337441,HGNC:7710,Humans,9606
BE0000192,Sodium channel protein type 11 subunit alpha,SCN11A,Q9UI33,AF188679,6572950,HGNC:10583,Humans,9606
BE0000193,Aldehyde dehydrogenase family 3 member B2,ALDH3B2,P48448,U37519,1051281,HGNC:411,Humans,9606
BE0000194,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,X13440,23365,HGNC:5210,Humans,9606
BE0000195,Monocarboxylate transporter 5,SLC16A4,O15374,U59185,2463628,HGNC:10925,Humans,9606
BE0000196,NADH-ubiquinone oxidoreductase chain 3,MT-ND3,P03897,J01415,506832,HGNC:7458,Humans,9606
BE0000197,Sodium channel protein type 5 subunit alpha,SCN5A,Q14524,M77235,184039,HGNC:10593,Humans,9606
BE0000198,Lysine--tRNA ligase,KARS,Q15046,D31890,505108,HGNC:6215,Humans,9606
BE0000199,DNA ligase 1,LIG1,P18858,M36067,187143,HGNC:6598,Humans,9606
BE0000201,Mitochondrial ornithine transporter 1,SLC25A15,Q9Y619,AF112968,5565862,HGNC:10985,Humans,9606
BE0000202,NEDD8-activating enzyme E1 regulatory subunit,NAE1,Q13564,U50939,1314560,HGNC:621,Humans,9606
BE0000203,Gonadotropin-releasing hormone receptor,GNRHR,P30968,L03380,183422,HGNC:4421,Humans,9606
BE0000204,"Probable leucine--tRNA ligase, mitochondrial",LARS2,Q15031,D21851,40788954,HGNC:17095,Humans,9606
BE0000205,Platelet-derived growth factor receptor beta,PDGFRB,P09619,J03278,189732,HGNC:8804,Humans,9606
BE0000206,Retinoic acid receptor beta,RARB,P10826,X07282,35883,HGNC:9865,Humans,9606
BE0000207,ATP-binding cassette sub-family C member 8,ABCC8,Q09428,L78243,1374919,HGNC:59,Humans,9606
BE0000208,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,P21695,L34041,508487,HGNC:4455,Humans,9606
BE0000209,Corticosteroid-binding globulin,SERPINA6,P08185,J02943,179971,HGNC:1540,Humans,9606
BE0000210,Potassium channel subfamily K member 2,KCNK2,O95069,AF129399,5712621,HGNC:6277,Humans,9606
BE0000211,Plasminogen,PLG,P00747,X05199,387026,HGNC:9071,Humans,9606
BE0000212,High affinity cationic amino acid transporter 1,SLC7A1,P30825,X59155,36161,HGNC:11057,Humans,9606
BE0000213,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,P56556,AF047182,2909856,HGNC:7690,Humans,9606
BE0000214,Histo-blood group ABO system transferase,ABO,P16442,J05175,340078,HGNC:79,Humans,9606
BE0000215,Peroxisome proliferator-activated receptor gamma,PPARG,P37231,U79012,1711117,HGNC:9236,Humans,9606
BE0000216,Coagulation factor X,F10,P00742,K03194,182841,HGNC:3528,Humans,9606
BE0000217,Gamma-aminobutyric acid type B receptor subunit 1,GABBR1,Q9UBS5,AJ225028,3892594,HGNC:4070,Humans,9606
BE0000218,Calcium-transporting ATPase type 2C member 1,ATP2C1,P98194,AF181120,6715131,HGNC:13211,Humans,9606
BE0000219,Asparagine synthetase [glutamine-hydrolyzing],ASNS,P08243,M27396,179100,HGNC:753,Humans,9606
BE0000220,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,P16083,J02888,190818,HGNC:7856,Humans,9606
BE0000221,Angiotensin-converting enzyme,ACE,P12821,J04144,178286,HGNC:2707,Humans,9606
BE0000223,Valine--tRNA ligase,VARS,P26640,X59303,31545,HGNC:12651,Humans,9606
BE0000224,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,NDUFA1,O15239,X81900,2274974,HGNC:7683,Humans,9606
BE0000225,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PYCR1,P32322,M77836,189498,HGNC:9721,Humans,9606
BE0000227,Alcohol dehydrogenase 1A,ADH1A,P07327,M12271,178092,HGNC:249,Humans,9606
BE0000228,"Tryptophan--tRNA ligase, cytoplasmic",WARS,P23381,M77804,184657,HGNC:12729,Humans,9606
BE0000229,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,P54710,U50743,1575004,HGNC:4026,Humans,9606
BE0000230,"Tyrosine--tRNA ligase, cytoplasmic",YARS,P54577,U40714,1184699,HGNC:12840,Humans,9606
BE0000231,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",ALDH6A1,Q02252,AJ249994,7160985,HGNC:7179,Humans,9606
BE0000232,Microsomal triglyceride transfer protein large subunit,MTTP,P55157,X75500,414669,HGNC:7467,Humans,9606
BE0000234,"Threonine--tRNA ligase, cytoplasmic",TARS,P26639,M63180,1464742,HGNC:11572,Humans,9606
BE0000235,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,O75746,Y14494,3559910,HGNC:10982,Humans,9606
BE0000236,Neutral amino acid transporter B(0),SLC1A5,Q15758,U53347,1478281,HGNC:10943,Humans,9606
BE0000238,Transcobalamin-1,TCN1,P20061,J05068,307479,HGNC:11652,Humans,9606
BE0000239,Lipoprotein lipase,LPL,P06858,M15856,307138,HGNC:6677,Humans,9606
BE0000240,Plasminogen activator inhibitor 1,SERPINE1,P05121,X04429,35272,HGNC:8583,Humans,9606
BE0000241,Adenosine receptor A2b,ADORA2B,P29275,M97759,178150,HGNC:264,Humans,9606
BE0000242,"Adrenodoxin, mitochondrial",FDX1,P10109,M23668,557734,HGNC:3638,Humans,9606
BE0000243,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,O43674,AF047181,2909854,HGNC:7700,Humans,9606
BE0000244,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",ALDH4A1,P30038,U24267,1353250,HGNC:406,Humans,9606
BE0000245,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,O96000,AF044954,4164442,HGNC:7696,Humans,9606
BE0000246,Apoptosis regulator Bcl-2,BCL2,P10415,M13994,179367,HGNC:990,Humans,9606
BE0000247,Muscarinic acetylcholine receptor M5,CHRM5,P08912,M80333,177988,HGNC:1954,Humans,9606
BE0000248,Arachidonate 5-lipoxygenase,ALOX5,P09917,J03600,187193,HGNC:435,Humans,9606
BE0000249,Sodium- and chloride-dependent GABA transporter 1,SLC6A1,P30531,X54673,31658,HGNC:11042,Humans,9606
BE0000250,Purine nucleoside phosphorylase,PNP,P00491,X00737,35565,HGNC:7892,Humans,9606
BE0000252,Tyrosinase,TYR,P14679,M27160,340037,HGNC:12442,Humans,9606
BE0000253,"4-aminobutyrate aminotransferase, mitochondrial",ABAT,P80404,L32961,602705,HGNC:23,Humans,9606
BE0000254,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,Q9Y478,AJ224515,2916800,HGNC:9378,Humans,9606
BE0000255,Retinol-binding protein 3,RBP3,P10745,M33875,186541,HGNC:9921,Humans,9606
BE0000256,SEC14-like protein 2,SEC14L2,O76054,AL096881,5596693,HGNC:10699,Humans,9606
BE0000258,Mitochondrial ornithine transporter 2,SLC25A2,Q9BXI2,AF332005,13445628,HGNC:22921,Humans,9606
BE0000259,"Beta-1,4-galactosyltransferase 1",B4GALT1,P15291,X14085,29424,HGNC:924,Humans,9606
BE0000260,"Trifunctional enzyme subunit alpha, mitochondrial",HADHA,P40939,D16480,862457,HGNC:4801,Humans,9606
BE0000261,Cytosolic purine 5'-nucleotidase,NT5C2,P49902,D38524,633071,HGNC:8022,Humans,9606
BE0000262,Prostaglandin G/H synthase 2,PTGS2,P35354,L15326,291988,HGNC:9605,Humans,9606
BE0000263,"Nitric oxide synthase, endothelial",NOS3,P29474,M93718,189212,HGNC:7876,Humans,9606
BE0000264,Activin receptor type-1,ACVR1,Q04771,L02911,338219,HGNC:171,Humans,9606
BE0000266,Neprilysin,MME,P08473,X07166,34758,HGNC:7154,Humans,9606
BE0000267,Carbonic anhydrase 1,CA1,P00915,X05014,29600,HGNC:1368,Humans,9606
BE0000268,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",MTHFD2,P13995,X16396,35071,HGNC:7434,Humans,9606
