StringDB_Gene_Name	AlphaFold_Uniprot_Id	Uniprot_Protein_Length
ZNF775	Q96BV0	537
ZNF774	Q6NX45	483
ZNF773	Q6PK81	442
ZNF772	Q68DY9	489
ZNF771	Q7L3S4	317
ZNF770	Q6IQ21	691
ZNF77	Q9Y6R6	833
ZNF77	Q9ULD5	831
ZNF77	Q96MU6	729
ZNF77	Q6IQ21	691
ZNF77	Q15935	545
ZNF77	Q96BV0	537
ZNF77	Q68DI1	518
ZNF77	Q68DY9	489
ZNF77	Q6NX45	483
ZNF77	Q6PK81	442
ZNF77	Q7L3S4	317
ZNF768	Q9H5H4	540
ZNF766	Q5HY98	468
ZNF765	Q7L2R6	523
ZNF764	Q96H86	408
ZNF763	Q0D2J5	394
ZNF761	Q86XN6	746
ZNF76	Q86XN6	746
ZNF76	Q9NYW8	714
ZNF76	P36508	570
ZNF76	Q9H5H4	540
ZNF76	Q7L2R6	523
ZNF76	Q3SY52	487
ZNF76	Q5HY98	468
ZNF76	Q96H86	408
ZNF76	Q0D2J5	394
ZNF76	Q75MW2	155
ZNF75D	P51815	510
ZNF75A	Q96N20	296
ZNF750	Q32MQ0	723
ZNF749	O43361	778
ZNF747	Q9BV97	330
ZNF746	Q6NUN9	644
ZNF740	Q8NDX6	193
ZNF74	O43361	778
ZNF74	Q9H8Y5	726
ZNF74	Q16587	644
ZNF74	Q6NUN9	644
ZNF74	Q9Y2G7	519
ZNF74	Q9BQA5	517
ZNF74	O95600	359
ZNF74	Q9BV97	330
ZNF74	Q8NDX6	193
ZNF738	Q8NE65	375
ZNF737	O75373	536
ZNF736	B4DX44	427
ZNF735	P0CB33	412
ZNF732	B4DXR9	585
ZNF730	Q6ZMV8	503
ZNF729	A6NN14	1252
ZNF728	P0DKX0	622
ZNF727	A8MUV8	499
ZNF726	A6NNF4	616
ZNF726	Q15940	193
ZNF724	A8MTY0	619
ZNF723	P0DPD5	513
ZNF721	Q8TF20	911
ZNF720	Q7Z2F6	126
ZNF718	Q3SXZ3	478
ZNF717	Q9BY31	914
ZNF716	A6NP11	495
ZNF714	Q96N38	554
ZNF713	Q8N859	443
ZNF711	Q9Y462	761
ZNF710	Q8N1W2	664
ZNF71	Q9BY31	914
ZNF71	Q9Y462	761
ZNF71	Q8N1W2	664
ZNF71	Q96N38	554
ZNF71	A6NP11	495
ZNF71	Q9NQZ8	489
ZNF71	Q3SXZ3	478
ZNF71	Q8N859	443
ZNF709	Q8N972	641
ZNF708	P17019	563
ZNF707	Q96C28	371
ZNF706	Q9Y5V0	76
ZNF705G	A8MUZ8	300
ZNF705E	A8MWA4	300
ZNF705D	P0CH99	300
ZNF705B	P0CI00	300
ZNF705A	Q6ZN79	300
ZNF704	Q6ZNC4	412
ZNF703	Q9H7S9	590
ZNF701	Q9NV72	531
ZNF700	Q9H0M5	742
ZNF70	Q9H0M5	742
ZNF70	Q8N972	641
ZNF70	Q9H7S9	590
ZNF70	P17019	563
ZNF70	Q9NV72	531
ZNF70	Q9UC06	446
ZNF70	Q6ZNC4	412
ZNF70	Q96C28	371
ZNF70	P0CI00	300
ZNF70	A8MUZ8	300
ZNF70	Q6ZN79	300
ZNF70	P0CH99	300
ZNF70	A8MWA4	300
ZNF70	Q9H963	129
ZNF70	Q9Y5V0	76
ZNF7	Q9NSC2	1324
ZNF7	Q9BXA9	1300
ZNF7	A6NN14	1252
ZNF7	Q9UJQ4	1053
ZNF7	Q9Y467	1007
ZNF7	Q9BY31	914
ZNF7	Q8TF20	911
ZNF7	Q9Y6R6	833
ZNF7	Q9ULD5	831
ZNF7	Q8N393	782
ZNF7	O43361	778
ZNF7	Q9Y462	761
ZNF7	Q86XN6	746
ZNF7	Q9H0M5	742
ZNF7	Q96MU6	729
ZNF7	Q9H8Y5	726
ZNF7	Q32MQ0	723
ZNF7	Q9NYW8	714
ZNF7	Q6ZMW2	699
ZNF7	Q6IQ21	691
ZNF7	P17097	686
ZNF7	Q8N1W2	664
ZNF7	P52742	658
ZNF7	Q16587	644
ZNF7	Q6NUN9	644
ZNF7	Q96GE5	643
ZNF7	Q8N972	641
ZNF7	O75290	641
ZNF7	Q6PG37	636
ZNF7	Q8TF47	636
ZNF7	Q3KQV3	632
ZNF7	P0DKX0	622
ZNF7	A8MTY0	619
ZNF7	A6NNF4	616
ZNF7	Q9H7S9	590
ZNF7	B4DXR9	585
ZNF7	Q3KP31	576
ZNF7	A6NK75	572
ZNF7	Q96JP5	570
ZNF7	P36508	570
ZNF7	P17019	563
ZNF7	Q96N38	554
ZNF7	Q6ZMS7	546
ZNF7	Q15935	545
ZNF7	Q9H5H4	540
ZNF7	Q96BV0	537
ZNF7	O75373	536
ZNF7	Q9NV72	531
ZNF7	Q7L2R6	523
ZNF7	Q9Y2G7	519
ZNF7	Q68DI1	518
ZNF7	Q9BQA5	517
ZNF7	P0DPD5	513
ZNF7	P51815	510
ZNF7	Q6ZMV8	503
ZNF7	Q96NJ6	502
ZNF7	A8MUV8	499
ZNF7	Q15937	498
ZNF7	Q96SL8	496
ZNF7	A6NP11	495
ZNF7	Q68DY9	489
ZNF7	Q9NQZ8	489
ZNF7	Q3SY52	487
ZNF7	Q6NX45	483
ZNF7	Q3SXZ3	478
ZNF7	Q5HY98	468
ZNF7	Q6ZN57	461
ZNF7	Q9UC06	446
ZNF7	Q8N859	443
ZNF7	Q6PK81	442
ZNF7	B4DX44	427
ZNF7	Q92670	426
ZNF7	Q5FWF6	425
ZNF7	Q6ZNC4	412
ZNF7	P0CB33	412
ZNF7	Q96H86	408
ZNF7	Q6ZN11	406
ZNF7	A8K8V0	405
ZNF7	Q0D2J5	394
ZNF7	A0A1W2PQL4	384
ZNF7	Q6DD87	382
ZNF7	Q8NE65	375
ZNF7	Q96C28	371
ZNF7	O95600	359
ZNF7	Q8N8C0	355
ZNF7	Q9BV97	330
ZNF7	Q8NCA9	323
ZNF7	Q7L3S4	317
ZNF7	Q96MM3	310
ZNF7	P0CI00	300
ZNF7	A8MUZ8	300
ZNF7	Q6ZN79	300
ZNF7	P0CH99	300
ZNF7	A8MWA4	300
ZNF7	Q96N20	296
ZNF7	Q15940	193
ZNF7	Q8NDX6	193
ZNF7	Q75MW2	155
ZNF7	Q9H963	129
ZNF7	Q7Z2F6	126
ZNF7	Q6ZQV5	82
ZNF7	Q9Y5V0	76
ZNF699	Q32M78	642
ZNF697	Q5TEC3	545
ZNF696	Q9H7X3	374
ZNF695	Q8IW36	515
ZNF692	Q9BU19	519
ZNF691	Q5VV52	315
ZNF69	Q86V15	1759
ZNF69	Q63HK3	967
ZNF69	Q8IWY8	852
ZNF69	Q32M78	642
ZNF69	Q9UC07	566
ZNF69	Q5TEC3	545
ZNF69	Q9BU19	519
ZNF69	Q8IW36	515
ZNF69	Q9NU63	452
ZNF69	Q9H7X3	374
ZNF69	Q5VV52	315
ZNF689	Q96CS4	500
ZNF688	P0C7X2	276
ZNF687	Q8N1G0	1237
ZNF684	Q5T5D7	378
ZNF683	Q8IZ20	524
ZNF682	O95780	498
ZNF681	Q96N22	645
ZNF680	Q8NEM1	530
ZNF679	Q8IYX0	411
ZNF678	Q5SXM1	525
ZNF677	Q86XU0	584
ZNF676	Q8N7Q3	588
ZNF675	Q8TD23	568
ZNF674	Q2M3X9	581
ZNF672	Q499Z4	452
ZNF671	Q8TAW3	534
ZNF670	Q9BS34	389
ZNF669	Q96BR6	464
ZNF668	Q96K58	619
ZNF667	Q5HYK9	610
ZNF665	Q9H7R5	678
ZNF664	Q8N3J9	261
ZNF662	Q6ZS27	426
ZNF660	Q6AZW8	331
ZNF66	Q9H7R5	678
ZNF66	Q96K58	619
ZNF66	Q5HYK9	610
ZNF66	Q6ZN08	573
ZNF66	Q96BR6	464
ZNF66	Q6ZS27	426
ZNF66	Q9BSG1	425
ZNF66	Q6AZW8	331
ZNF66	Q8N3J9	261
ZNF658	Q5TYW1	1059
ZNF658	Q4V348	819
ZNF655	Q8N720	491
ZNF654	Q8IZM8	1128
ZNF653	Q96CK0	615
ZNF652	Q9Y2D9	606
ZNF649	Q9BS31	505
ZNF648	Q5T619	568
ZNF646	O15015	1832
ZNF644	Q9H582	1327
ZNF641	Q96N77	438
ZNF639	Q9UID6	485
ZNF638	Q14966	1978
ZNF630	Q2M218	657
ZNF629	Q9UEG4	869
ZNF628	Q5EBL2	1059
ZNF627	Q7L945	461
ZNF626	Q68DY1	528
ZNF625	Q96I27	306
ZNF624	Q9P2J8	865
ZNF623	O75123	536
ZNF622	Q969S3	477
ZNF621	Q6ZSS3	439
ZNF620	Q6ZNG0	422
ZNF619	Q8N2I2	560
ZNF618	Q5T7W0	954
ZNF616	Q08AN1	781
ZNF615	Q8N8J6	731
ZNF614	Q8N883	585
ZNF613	Q6PF04	617
ZNF611	Q8N823	705
ZNF610	Q8N9Z0	462
ZNF609	O15014	1411
ZNF608	Q9ULD9	1512
ZNF607	Q96SK3	696
ZNF606	Q8WXB4	792
ZNF605	Q86T29	641
ZNF600	Q6ZNG1	722
ZNF599	Q96NL3	588
ZNF598	Q86UK7	904
ZNF597	Q96LX8	424
ZNF596	Q8TC21	504
ZNF595	Q8IYB9	648
ZNF594	Q96JF6	807
ZNF593	O00488	134
ZNF593	A0A0U1RRA0	63
ZNF592	Q92610	1267
ZNF589	Q86UQ0	364
ZNF587B	E7ETH6	402
ZNF587	Q96SQ5	575
ZNF587	E7ETH6	402
ZNF586	Q9NXT0	402
ZNF585B	Q52M93	769
ZNF585A	Q6P3V2	769
ZNF584	Q8IVC4	421
ZNF583	Q96ND8	569
ZNF582	Q96NG8	517
ZNF581	Q9P0T4	197
ZNF580	Q9UK33	172
ZNF579	Q8NAF0	562
ZNF578	Q96N58	590
ZNF577	Q9BSK1	485
ZNF576	B3KS81	715
ZNF576	Q9H609	170
ZNF575	Q86XF7	245
ZNF574	Q6ZN55	896
ZNF573	Q86YE8	665
ZNF572	Q7Z3I7	529
ZNF571	Q7Z3V5	609
ZNF570	Q96NI8	536
ZNF57	Q6ZN55	896
ZNF57	B3KS81	715
ZNF57	Q86YE8	665
ZNF57	Q7Z3V5	609
ZNF57	Q96N58	590
ZNF57	Q8NAF0	562
ZNF57	Q68EA5	555
ZNF57	Q96NI8	536
ZNF57	Q7Z3I7	529
ZNF57	Q9BSK1	485
ZNF57	Q86XF7	245
ZNF57	Q9H609	170
ZNF569	Q5MCW4	686
ZNF568	Q3ZCX4	644
ZNF567	Q8N184	647
ZNF566	Q969W8	418
ZNF565	Q8N9K5	539
ZNF564	Q8TBZ8	553
ZNF563	Q8TA94	476
ZNF562	Q6V9R5	426
ZNF561	Q8N587	486
ZNF561	K7EIQ3	104
ZNF560	Q96MR9	790
ZNF559	Q9BR84	538
ZNF558	Q96NG5	402
ZNF557	Q8N988	423
ZNF556	Q9HAH1	456
ZNF555	Q8NEP9	628
ZNF554	Q86TJ5	538
ZNF552	Q9H707	407
ZNF551	Q7Z340	670
ZNF550	Q7Z398	422
ZNF549	Q6P9A3	640
ZNF548	Q8NEK5	533
ZNF547	Q8IVP9	402
ZNF546	Q86UE3	836
ZNF544	Q6NX49	715
ZNF543	Q08ER8	600
ZNF541	Q9H0D2	1346
ZNF540	Q8NDQ6	660
ZNF536	O15090	1300
ZNF534	Q76KX8	674
ZNF532	Q9HCE3	1301
ZNF530	Q6P9A1	599
ZNF529	Q6P280	563
ZNF528	Q3MIS6	628
ZNF527	Q8NB42	609
ZNF526	Q8TF50	670
ZNF525	Q8N782	479
ZNF524	Q96C55	264
ZNF521	Q96K83	1311
ZNF519	Q8TB69	540
ZNF518B	Q9C0D4	1074
ZNF518A	Q6AHZ1	1483
ZNF517	Q6ZMY9	492
ZNF516	Q92618	1163
ZNF516	Q6ZTR6	163
ZNF514	Q96K75	400
ZNF513	Q8N8E2	541
ZNF512B	Q96KM6	892
ZNF512	Q96KM6	892
ZNF512	Q96ME7	567
ZNF511	Q8NB15	252
ZNF510	Q9Y2H8	683
ZNF507	Q8TCN5	953
ZNF506	Q5JVG8	444
ZNF503	Q96F45	646
ZNF503	A6NEH8	195
ZNF502	Q8TBZ5	544
ZNF501	Q96CX3	271
ZNF500	O60304	480
ZNF497	Q6ZNH5	498
ZNF496	Q96IT1	587
ZNF493	Q6ZR52	646
ZNF492	Q9P255	531
ZNF491	Q8N8L2	437
ZNF490	Q9ULM2	529
ZNF488	Q96MN9	340
ZNF487	B1APH4	448
ZNF486	Q96H40	463
ZNF485	Q8NCK3	441
ZNF484	Q5JVG2	852
ZNF483	Q8TF39	744
ZNF480	Q8WV37	535
ZNF48	Q5JVG2	852
ZNF48	Q8TF39	744
ZNF48	Q96MX3	618
ZNF48	Q8WV37	535
ZNF48	Q96H40	463
ZNF48	B1APH4	448
ZNF48	Q8NCK3	441
ZNF48	Q9HCK0	441
ZNF48	Q15916	424
ZNF48	Q6U7Q0	402
ZNF48	Q96MN9	340
ZNF479	Q96JC4	524
ZNF474	Q9H2Y7	1883
ZNF474	Q6S9Z5	364
ZNF473	Q8WTR7	871
ZNF471	Q9BX82	626
ZNF470	Q6ECI4	717
ZNF469	Q96JG9	3953
ZNF468	Q5VIY5	522
ZNF467	Q7Z7K2	595
ZNF462	Q96JM2	2506
ZNF461	Q8TAF7	563
ZNF460	Q14592	562
ZNF454	Q8N9F8	522
ZNF451	Q9Y4E5	1061
ZNF45	Q6R2W3	1325
ZNF45	Q9Y4E5	1061
ZNF45	O43167	697
ZNF45	Q02386	682
ZNF45	Q8N9F8	522
ZNF45	Q3MJ62	389
ZNF449	Q6P9G9	518
ZNF446	Q9NWS9	450
ZNF445	P59923	1031
ZNF444	Q8N0Y2	327
ZNF443	Q9Y2A4	671
ZNF442	Q9H7R0	627
ZNF441	Q8N8Z8	693
ZNF440	Q8IYI8	595
ZNF44	P59923	1031
ZNF44	Q9P0L1	754
ZNF44	Q8N8Z8	693
ZNF44	Q9Y2A4	671
ZNF44	P15621	663
ZNF44	Q9H7R0	627
ZNF44	Q8IYI8	595
ZNF44	Q6P9G9	518
ZNF44	Q8TBC5	510
ZNF44	Q9NWS9	450
ZNF44	Q8N0Y2	327
ZNF439	Q8NDP4	499
ZNF438	Q7Z4V0	828
ZNF436	Q9C0F3	470
ZNF436	Q8NC38	126
ZNF433	Q8N7K0	673
ZNF432	O94892	652
ZNF431	Q8TF32	576
ZNF430	Q9H8G1	570
ZNF43	Q7Z4V0	828
ZNF43	P17038	809
ZNF43	Q9NX65	697
ZNF43	Q8N7K0	673
ZNF43	O94892	652
ZNF43	Q8TF32	576
ZNF43	Q9H8G1	570
ZNF43	Q8N680	514
ZNF43	Q8NDP4	499
ZNF43	Q9C0F3	470
ZNF43	Q9H4T2	348
ZNF43	Q8NC38	126
ZNF429	Q86V71	674
ZNF428	Q96B54	188
ZNF426	Q9BUY5	554
ZNF425	Q6IV72	752
ZNF423	Q2M1K9	1284
ZNF420	Q8TAQ5	688
ZNF419	Q96HQ0	510
ZNF419	Q6PK81	442
ZNF418	Q8TF45	676
ZNF417	Q8TAU3	575
ZNF416	Q9BWM5	594
ZNF415	Q09FC8	603
ZNF414	Q96IQ9	312
ZNF410	Q86VK4	478
ZNF41	P51814	821
ZNF41	Q8TF45	676
ZNF41	Q09FC8	603
ZNF41	Q9BWM5	594
ZNF41	Q8TAU3	575
ZNF41	Q96HQ0	510
ZNF41	O75346	499
ZNF41	Q86VK4	478
ZNF41	Q6PK81	442
ZNF41	Q96IQ9	312
ZNF408	Q9H9D4	720
ZNF407	Q9C0G0	2248
ZNF404	Q494X3	552
ZNF398	Q8TD17	642
ZNF397	Q8NF99	534
ZNF397	Q86W11	494
ZNF396	Q96N95	335
ZNF395	Q9H8N7	513
ZNF394	Q53GI3	561
ZNF391	Q9UJN7	358
ZNF385D	Q9H6B1	395
ZNF385C	Q66K41	422
ZNF385B	Q569K4	471
ZNF385A	Q96PM9	386
ZNF384	Q8TF68	577
ZNF383	Q8NA42	475
ZNF382	Q96SR6	550
ZNF37A	P17032	561
ZNF367	Q7RTV3	350
ZNF366	Q8N895	744
ZNF365	Q70YC5	407
ZNF362	Q5T0B9	420
ZNF358	Q9NW07	568
ZNF354C	Q86Y25	554
ZNF354B	Q96LW1	612
ZNF354A	O60765	605
ZNF350	Q9GZX5	532
ZNF35	Q9ULV3	898
ZNF35	P17027	643
ZNF35	Q96LW1	612
ZNF35	O60765	605
ZNF35	Q9NW07	568
ZNF35	Q86Y25	554
ZNF35	Q9GZX5	532
ZNF35	P13682	527
ZNF35	Q9NSJ1	428
ZNF347	Q96SE7	839
ZNF346	Q9UL40	294
ZNF345	Q14585	488
ZNF343	Q6P1L6	599
ZNF341	Q9BYN7	854
ZNF34	Q9BYN7	854
ZNF34	Q96SE7	839
ZNF34	Q86T24	672
ZNF34	Q6P1L6	599
ZNF34	Q86UZ6	589
ZNF34	Q8IZ26	560
ZNF34	Q14585	488
ZNF34	Q8WUU4	475
ZNF34	Q9UL40	294
ZNF33B	Q06732	778
ZNF33A	Q06730	810
ZNF337	Q9Y3M9	751
ZNF335	Q9H4Z2	1342
ZNF334	Q9HCZ1	680
ZNF333	Q96JL9	665
ZNF331	Q9NQX6	463
ZNF330	Q9Y3S2	320
ZNF329	Q86UD4	541
ZNF326	Q5BKZ1	582
ZNF324B	Q6AW86	544
ZNF324	O75467	553
ZNF324	Q6AW86	544
ZNF322	Q6U7Q0	402
ZNF320	A2RRD8	509
ZNF32	Q8WXB4	792
ZNF32	P17014	697
ZNF32	Q5BKZ1	582
ZNF32	O75467	553
ZNF32	Q6AW86	544
ZNF32	Q86UD4	541
ZNF32	A2RRD8	509
ZNF32	Q9NR11	478
ZNF32	Q96LW9	406
ZNF32	Q6U7Q0	402
ZNF32	P17041	273
ZNF32	Q8N8H1	164
ZNF319	Q9P2F9	582
ZNF318	Q5VUA4	2279
ZNF317	Q96PQ6	595
ZNF316	A6NFI3	1004
ZNF311	Q5JNZ3	666
ZNF304	Q9HCX3	659
ZNF302	Q9NR11	478
ZNF300	Q96RE9	604
ZNF30	Q6R2W3	1325
ZNF30	Q9HCX3	659
ZNF30	P17039	623
ZNF30	O43309	611
ZNF30	Q96RE9	604
ZNF30	Q969J2	545
ZNF30	Q9BRR0	538
ZNF30	Q9NR11	478
ZNF3	Q5VUA4	2279
ZNF3	Q9H4Z2	1342
ZNF3	Q6R2W3	1325
ZNF3	O60284	1047
ZNF3	P17040	1043
ZNF3	A6NFI3	1004
ZNF3	Q9ULV3	898
ZNF3	Q9BYN7	854
ZNF3	Q96SE7	839
ZNF3	Q06730	810
ZNF3	P17038	809
ZNF3	Q8WXB4	792
ZNF3	Q06732	778
ZNF3	Q9ULC8	765
ZNF3	Q9Y3M9	751
ZNF3	Q8N895	744
ZNF3	Q9C0B5	715
ZNF3	Q9H116	711
ZNF3	P17014	697
ZNF3	Q9HCZ1	680
ZNF3	Q86T24	672
ZNF3	Q5JNZ3	666
ZNF3	Q96JL9	665
ZNF3	Q9HCX3	659
ZNF3	Q9NTW7	645
ZNF3	P17027	643
ZNF3	Q8TD17	642
ZNF3	P17039	623
ZNF3	Q96LW1	612
ZNF3	O43309	611
ZNF3	O60765	605
ZNF3	Q96RE9	604
ZNF3	Q6P1L6	599
ZNF3	Q96PQ6	595
ZNF3	Q86UZ6	589
ZNF3	Q9P2F9	582
ZNF3	Q5BKZ1	582
ZNF3	Q8TF68	577
