UniProtId,Label,Gene_Name,
Q8NCH0,reviewed,CHSTE_HUMAN,
Q8TAF7,reviewed,ZN461_HUMAN,
Q9BSA9,reviewed,TM175_HUMAN,
P0DI80,reviewed,SMIM6_HUMAN,
Q701N2,reviewed,KRA55_HUMAN,
P23434,reviewed,GCSH_HUMAN,
Q92567,reviewed,F168A_HUMAN,
A8MZ36,reviewed,EVPLL_HUMAN,
Q12899,reviewed,TRI26_HUMAN,
Q9BW61,reviewed,DDA1_HUMAN,
P34913,reviewed,HYES_HUMAN,
A0A0B4J271,reviewed,TVAL3_HUMAN,
Q8WVP7,reviewed,LMBR1_HUMAN,
Q02747,reviewed,GUC2A_HUMAN,
P21815,reviewed,SIAL_HUMAN,
Q99442,reviewed,SEC62_HUMAN,
Q8N4Y2,reviewed,EFC4A_HUMAN,
P0DI81,reviewed,TPC2A_HUMAN,
Q16676,reviewed,FOXD1_HUMAN,
Q9Y6L6,reviewed,SO1B1_HUMAN,
Q5VV67,reviewed,PPRC1_HUMAN,
A1L3X4,reviewed,MT1DP_HUMAN,
Q9BW66,reviewed,CINP_HUMAN,
Q9Y6V0,reviewed,PCLO_HUMAN,
Q7RTS1,reviewed,BHA15_HUMAN,
P34910,reviewed,EVI2B_HUMAN,
A0A0B4J272,reviewed,TVA24_HUMAN,
Q3SYG4,reviewed,PTHB1_HUMAN,
Q8TAF5,reviewed,LQK1_HUMAN,
Q8NGK0,reviewed,O51G2_HUMAN,
O00488,reviewed,ZN593_HUMAN,
Q7L945,reviewed,ZN627_HUMAN,
Q9Y6L7,reviewed,TLL2_HUMAN,
Q701N4,reviewed,KRA52_HUMAN,
Q5PRF9,reviewed,SMAG2_HUMAN,
Q9NQ03,reviewed,SCRT2_HUMAN,
Q92569,reviewed,P55G_HUMAN,
Q96B26,reviewed,EXOS8_HUMAN,
Q24JP5,reviewed,T132A_HUMAN,
Q5H913,reviewed,AR13A_HUMAN,
Q9Y623,reviewed,MYH4_HUMAN,
Q9ULC0,reviewed,MUCEN_HUMAN,
P0C7T3,reviewed,O56A5_HUMAN,
Q76B58,reviewed,BRNP3_HUMAN,
A0A0B4J273,reviewed,TVA34_HUMAN,
Q8WVP5,reviewed,TP8L1_HUMAN,
P21817,reviewed,RYR1_HUMAN,
Q8IV31,reviewed,TM139_HUMAN,
Q99440,reviewed,CD006_HUMAN,
Q08708,reviewed,CLM6_HUMAN,
Q8NGK1,reviewed,O51G1_HUMAN,
Q13936,reviewed,CAC1C_HUMAN,
Q96CM8,reviewed,ACSF2_HUMAN,
P41225,reviewed,SOX3_HUMAN,
A2RUB1,reviewed,MEIOC_HUMAN,
P10909,reviewed,CLUS_HUMAN,
Q9Y620,reviewed,RA54B_HUMAN,
P0C7T2,reviewed,OR2T7_HUMAN,
Q7RTS3,reviewed,PTF1A_HUMAN,
P58062,reviewed,ISK7_HUMAN,
P61289,reviewed,PSME3_HUMAN,
Q8IV32,reviewed,CCD71_HUMAN,
Q8TAF3,reviewed,WDR48_HUMAN,
Q8NGK2,reviewed,O52B4_HUMAN,
Q9NWK9,reviewed,BCD1_HUMAN,
P41226,reviewed,UBA7_HUMAN,
Q14449,reviewed,GRB14_HUMAN,
Q2TB90,reviewed,HKDC1_HUMAN,
A6NFE3,reviewed,EFC10_HUMAN,
P0C7T5,reviewed,ATX1L_HUMAN,
O75129,reviewed,ASTN2_HUMAN,
Q8IWF9,reviewed,CCD83_HUMAN,
Q712K3,reviewed,UB2R2_HUMAN,
Q8IV33,reviewed,K0825_HUMAN,
O14718,reviewed,OPSX_HUMAN,
Q15661,reviewed,TRYB1_HUMAN,
Q8NGK3,reviewed,O52K2_HUMAN,
Q11128,reviewed,FUT5_HUMAN,
P11142,reviewed,HSP7C_HUMAN,
P41227,reviewed,NAA10_HUMAN,
Q5VV63,reviewed,ATRN1_HUMAN,
B5MD39,reviewed,GGTL3_HUMAN,
Q9Y330,reviewed,ZBT12_HUMAN,
A6NFE2,reviewed,SMCO2_HUMAN,
P78369,reviewed,CLD10_HUMAN,
O75128,reviewed,COBL_HUMAN,
Q01658,reviewed,NC2B_HUMAN,
P21810,reviewed,PGS1_HUMAN,
O14717,reviewed,TRDMT_HUMAN,
Q99447,reviewed,PCY2_HUMAN,
P61457,reviewed,PHS_HUMAN,
Q8NGK4,reviewed,O52K1_HUMAN,
P41220,reviewed,RGS2_HUMAN,
Q96KV6,reviewed,BT2A3_HUMAN,
Q5TGU0,reviewed,TSPO2_HUMAN,
Q99965,reviewed,ADAM2_HUMAN,
P0C7T7,reviewed,FMAS1_HUMAN,
Q15744,reviewed,CEBPE_HUMAN,
P78368,reviewed,KC1G2_HUMAN,
Q8IV35,reviewed,CF337_HUMAN,
Q86YF9,reviewed,DZIP1_HUMAN,
Q8NGK5,reviewed,O52M1_HUMAN,
Q8IXB1,reviewed,DJC10_HUMAN,
Q96CM4,reviewed,NXNL1_HUMAN,
P41221,reviewed,WNT5A_HUMAN,
Q96IF1,reviewed,AJUBA_HUMAN,
Q96KV7,reviewed,WDR90_HUMAN,
Q06124,reviewed,PTN11_HUMAN,
Q96MK3,reviewed,FA20A_HUMAN,
Q9UBS5,reviewed,GABR1_HUMAN,
Q96LM1,reviewed,CL037_HUMAN,
Q13319,reviewed,CD5R2_HUMAN,
Q6P2I3,reviewed,FAH2B_HUMAN,
Q9Y624,reviewed,JAM1_HUMAN,
Q9C0D0,reviewed,PHAR1_HUMAN,
Q75N03,reviewed,HAKAI_HUMAN,
Q8IV36,reviewed,HID1_HUMAN,
O14715,reviewed,RGPD8_HUMAN,
Q99445,reviewed,GML_HUMAN,
Q8NGK6,reviewed,O52I1_HUMAN,
Q96CM3,reviewed,RUSD4_HUMAN,
P13284,reviewed,GILT_HUMAN,
P41222,reviewed,PTGDS_HUMAN,
P0CL84,reviewed,ST3L2_HUMAN,
Q9Y333,reviewed,LSM2_HUMAN,
A0A096LNP1,reviewed,D131B_HUMAN,
Q13519,reviewed,PNOC_HUMAN,
P81133,reviewed,SIM1_HUMAN,
Q8N6G5,reviewed,CGAT2_HUMAN,
Q96MK2,reviewed,RIPR3_HUMAN,
Q99967,reviewed,CITE2_HUMAN,
P17025,reviewed,ZN182_HUMAN,
Q9UBS4,reviewed,DJB11_HUMAN,
Q9Y625,reviewed,GPC6_HUMAN,
Q15746,reviewed,MYLK_HUMAN,
A0A1B0GTG8,unreviewed,A0A1B0GTG8_HUMAN,
Q6ZT77,reviewed,ZN826_HUMAN,
Q9BWM7,reviewed,SFXN3_HUMAN,
Q8IXB3,reviewed,TARG1_HUMAN,
P41223,reviewed,BUD31_HUMAN,
P46020,reviewed,KPB1_HUMAN,
Q5JVG2,reviewed,ZN484_HUMAN,
P0CL85,reviewed,ST3L3_HUMAN,
Q9Y334,reviewed,VWA7_HUMAN,
Q13516,reviewed,OLIG2_HUMAN,
Q8NA19,reviewed,LMBL4_HUMAN,
Q99966,reviewed,CITE1_HUMAN,
Q6PID8,reviewed,KLD10_HUMAN,
P17024,reviewed,ZNF20_HUMAN,
P37288,reviewed,V1AR_HUMAN,
Q8N3P4,reviewed,VPS8_HUMAN,
Q9C0D2,reviewed,CE295_HUMAN,
Q8IWF2,reviewed,FXRD2_HUMAN,
O14713,reviewed,ITBP1_HUMAN,
P0DPA2,reviewed,VSIG8_HUMAN,
Q86VD7,reviewed,S2542_HUMAN,
P0CL82,reviewed,GG12I_HUMAN,
Q00005,reviewed,2ABB_HUMAN,
Q2NKQ1,reviewed,SGSM1_HUMAN,
P13489,reviewed,RINI_HUMAN,
O14939,reviewed,PLD2_HUMAN,
Q99961,reviewed,SH3G1_HUMAN,
P17027,reviewed,ZNF23_HUMAN,
P62508,reviewed,ERR3_HUMAN,
P78364,reviewed,PHC1_HUMAN,
Q9C0D3,reviewed,ZY11B_HUMAN,
Q9UN42,reviewed,AT1B4_HUMAN,
P0DPA3,reviewed,SNH28_HUMAN,
Q9BWM5,reviewed,ZN416_HUMAN,
Q6W2J9,reviewed,BCOR_HUMAN,
A8MV57,reviewed,MPTX_HUMAN,
P0CL83,reviewed,ST3L1_HUMAN,
Q9Y336,reviewed,SIGL9_HUMAN,
Q5QGS0,reviewed,NEXMI_HUMAN,
Q14DG7,reviewed,T132B_HUMAN,
Q8N6G6,reviewed,ATL1_HUMAN,
P17026,reviewed,ZNF22_HUMAN,
Q96LM5,reviewed,SMIP2_HUMAN,
P15104,reviewed,GLNA_HUMAN,
Q6P2I7,reviewed,EBLN2_HUMAN,
Q15743,reviewed,OGR1_HUMAN,
P78367,reviewed,NKX32_HUMAN,
Q9C0D4,reviewed,Z518B_HUMAN,
Q8IYJ0,reviewed,PIANP_HUMAN,
P48634,reviewed,PRC2A_HUMAN,
Q86VD1,reviewed,MORC1_HUMAN,
P0CL80,reviewed,GG12F_HUMAN,
Q9Y337,reviewed,KLK5_HUMAN,
Q13515,reviewed,BFSP2_HUMAN,
Q99963,reviewed,SH3G3_HUMAN,
Q9H611,reviewed,PIF1_HUMAN,
P17021,reviewed,ZNF17_HUMAN,
Q9UBS0,reviewed,KS6B2_HUMAN,
Q5VVQ6,reviewed,OTU1_HUMAN,
Q96LM6,reviewed,SMIP9_HUMAN,
Q15742,reviewed,NAB2_HUMAN,
Q9C0D5,reviewed,TANC1_HUMAN,
O75121,reviewed,MFA3L_HUMAN,
Q9BSQ5,reviewed,CCM2_HUMAN,
Q15669,reviewed,RHOH_HUMAN,
Q8IYJ1,reviewed,CPNE9_HUMAN,
A5PLL1,reviewed,AN34B_HUMAN,
Q13938,reviewed,CAYP1_HUMAN,
P0CL81,reviewed,GG12G_HUMAN,
Q2M3T9,reviewed,HYAL4_HUMAN,
Q6IBS0,reviewed,TWF2_HUMAN,
O14936,reviewed,CSKP_HUMAN,
Q99962,reviewed,SH3G2_HUMAN,
P17020,reviewed,ZNF16_HUMAN,
Q9UBS3,reviewed,DNJB9_HUMAN,
A0A1W2PPW3,reviewed,TFKLL_HUMAN,
Q5HYK3,reviewed,COQ5_HUMAN,
Q9C0D6,reviewed,FHDC1_HUMAN,
Q01650,reviewed,LAT1_HUMAN,
Q9NT22,reviewed,EMIL3_HUMAN,
Q8IWF6,reviewed,DEN6A_HUMAN,
O75396,reviewed,SC22B_HUMAN,
Q8IYJ2,reviewed,CJ067_HUMAN,
Q13939,reviewed,CALI_HUMAN,
P68431,reviewed,H31_HUMAN,
Q7Z589,reviewed,EMSY_HUMAN,
P20853,reviewed,CP2A7_HUMAN,
Q86V81,reviewed,THOC4_HUMAN,
P17023,reviewed,ZNF19_HUMAN,
P21549,reviewed,AGT1_HUMAN,
P47712,reviewed,PA24A_HUMAN,
Q9C0D7,reviewed,ZC12C_HUMAN,
O75123,reviewed,ZN623_HUMAN,
Q8IWF7,reviewed,U2D2L_HUMAN,
Q6ZUT9,reviewed,DEN5B_HUMAN,
Q8TAF8,reviewed,LHPL5_HUMAN,
Q8IYJ3,reviewed,SYTL1_HUMAN,
P48637,reviewed,GSHB_HUMAN,
P14618,reviewed,KPYM_HUMAN,
Q2Q1W2,reviewed,LIN41_HUMAN,
Q14442,reviewed,PIGH_HUMAN,
Q7Z7L8,reviewed,CK096_HUMAN,
Q13510,reviewed,ASAH1_HUMAN,
Q9BPZ7,reviewed,SIN1_HUMAN,
Q8N6G2,reviewed,TEX26_HUMAN,
P17022,reviewed,ZNF18_HUMAN,
Q53FA7,reviewed,QORX_HUMAN,
P78363,reviewed,ABCA4_HUMAN,
Q86WB0,reviewed,ZC3C1_HUMAN,
O75122,reviewed,CLAP2_HUMAN,
O75394,reviewed,RM33_HUMAN,
P08887,reviewed,IL6RA_HUMAN,
Q7Z7L9,reviewed,ZSCA2_HUMAN,
Q8N715,reviewed,CC185_HUMAN,
Q9C099,reviewed,LRCC1_HUMAN,
P20851,reviewed,C4BPB_HUMAN,
Q96G30,reviewed,MRAP2_HUMAN,
Q86XD5,reviewed,F131B_HUMAN,
O14933,reviewed,UB2L6_HUMAN,
Q9NPC8,reviewed,SIX2_HUMAN,
Q9NU63,reviewed,ZFP57_HUMAN,
Q9BVI4,reviewed,NOC4L_HUMAN,
P47710,reviewed,CASA1_HUMAN,
P62502,reviewed,LCN6_HUMAN,
P78362,reviewed,SRPK2_HUMAN,
Q86WB7,reviewed,UN93A_HUMAN,
Q9Y3D5,reviewed,RT18C_HUMAN,
P14616,reviewed,INSRR_HUMAN,
Q9UNQ2,reviewed,DIM1_HUMAN,
Q14444,reviewed,CAPR1_HUMAN,
Q4VXF1,reviewed,F74A3_HUMAN,
Q9C098,reviewed,DCLK3_HUMAN,
Q8WUJ3,reviewed,CEMIP_HUMAN,
Q9Y2Z9,reviewed,COQ6_HUMAN,
Q5HYK7,reviewed,SH319_HUMAN,
Q6ZWE6,reviewed,PKHM3_HUMAN,
Q96I15,reviewed,SCLY_HUMAN,
A0A1W2PPM1,reviewed,CPHXL_HUMAN,
Q56P42,reviewed,PYDC2_HUMAN,
Q69YN4,reviewed,VIR_HUMAN,
Q9UP95,reviewed,S12A4_HUMAN,
O43542,reviewed,XRCC3_HUMAN,
Q9Y6F8,reviewed,CDY1_HUMAN,
Q86V85,reviewed,GP180_HUMAN,
Q03052,reviewed,PO3F1_HUMAN,
O14931,reviewed,NCTR3_HUMAN,
A0A087WSZ0,reviewed,KVD08_HUMAN,
Q99969,reviewed,RARR2_HUMAN,
Q8WUJ0,reviewed,STYX_HUMAN,
Q9NPC6,reviewed,MYOZ2_HUMAN,
Q96RI0,reviewed,PAR4_HUMAN,
P37287,reviewed,PIGA_HUMAN,
Q9Y597,reviewed,KCTD3_HUMAN,
P60893,reviewed,GPR85_HUMAN,
O75127,reviewed,PTCD1_HUMAN,
Q96HT8,reviewed,MR1L1_HUMAN,
Q9Y3D7,reviewed,TIM16_HUMAN,
A6NGZ8,reviewed,SMIM9_HUMAN,
A5PLL7,reviewed,PDES1_HUMAN,
O43543,reviewed,XRCC2_HUMAN,
Q8NDV1,reviewed,SIA7C_HUMAN,
Q9UNQ0,reviewed,ABCG2_HUMAN,
Q9Y6F9,reviewed,WNT6_HUMAN,
Q9NRS4,reviewed,TMPS4_HUMAN,
P52790,reviewed,HXK3_HUMAN,
Q86V86,reviewed,PIM3_HUMAN,
Q86XD8,reviewed,ZFAN4_HUMAN,
Q9BPZ3,reviewed,PAIP2_HUMAN,
Q16378,reviewed,PROL4_HUMAN,
Q8WUJ1,reviewed,NEUFC_HUMAN,
P82987,reviewed,ATL3_HUMAN,
Q9NPC7,reviewed,MYNN_HUMAN,
Q9UBS9,reviewed,SUCO_HUMAN,
Q96RI1,reviewed,NR1H4_HUMAN,
Q5HYK9,reviewed,ZN667_HUMAN,
Q71F78,reviewed,LCA10_HUMAN,
Q6ZUT4,reviewed,YL014_HUMAN,
A0A494C071,reviewed,PWWP4_HUMAN,
Q9Y3D6,reviewed,FIS1_HUMAN,
O75390,reviewed,CISY_HUMAN,
Q69YN2,reviewed,C19L1_HUMAN,
A2RUR9,reviewed,C144A_HUMAN,
Q8NDV2,reviewed,GPR26_HUMAN,
Q86VD9,reviewed,PIGZ_HUMAN,
Q9Y6F6,reviewed,IRAG1_HUMAN,
Q86V87,reviewed,FHI2B_HUMAN,
P51809,reviewed,VAMP7_HUMAN,
Q9BPZ2,reviewed,SPI2B_HUMAN,
A0A1B0GVS7,reviewed,MDFI2_HUMAN,
O15047,reviewed,SET1A_HUMAN,
P82980,reviewed,RET5_HUMAN,
Q9NPC4,reviewed,A4GAT_HUMAN,
P17029,reviewed,ZKSC1_HUMAN,
Q9UBS8,reviewed,RNF14_HUMAN,
Q9Y2Z4,reviewed,SYYM_HUMAN,
Q9BVI0,reviewed,PHF20_HUMAN,
P60891,reviewed,PRPS1_HUMAN,
Q6UWW9,reviewed,TM207_HUMAN,
P27216,reviewed,ANX13_HUMAN,
Q8NF86,reviewed,PRS33_HUMAN,
O75391,reviewed,SPAG7_HUMAN,
P30050,reviewed,RL12_HUMAN,
O43541,reviewed,SMAD6_HUMAN,
Q8NDV3,reviewed,SMC1B_HUMAN,
Q9NZT1,reviewed,CALL5_HUMAN,
Q9Y6F7,reviewed,CDY2_HUMAN,
Q6DKI2,reviewed,LEG9C_HUMAN,
Q9NRS6,reviewed,SNX15_HUMAN,
Q86V88,reviewed,MGDP1_HUMAN,
Q8NBF6,reviewed,AVL9_HUMAN,
P08559,reviewed,ODPA_HUMAN,
P51808,reviewed,DYLT3_HUMAN,
O15040,reviewed,TCPR2_HUMAN,
Q9ULS6,reviewed,KCNS2_HUMAN,
P17028,reviewed,ZNF24_HUMAN,
P51153,reviewed,RAB13_HUMAN,
Q96A83,reviewed,COQA1_HUMAN,
Q9Y592,reviewed,CEP83_HUMAN,
Q6UWW8,reviewed,EST3_HUMAN,
Q6ZUT6,reviewed,CCD9B_HUMAN,
Q9Y3D0,reviewed,CIA2B_HUMAN,
Q68EN5,reviewed,MACA1_HUMAN,
Q9C093,reviewed,SPEF2_HUMAN,
O15041,reviewed,SEM3E_HUMAN,
Q9ULS5,reviewed,TMCC3_HUMAN,
Q9NPC2,reviewed,KCNK9_HUMAN,
Q9Y2Z2,reviewed,MTO1_HUMAN,
Q8TCC7,reviewed,S22A8_HUMAN,
A4D263,reviewed,SMIP7_HUMAN,
P54296,reviewed,MYOM2_HUMAN,
Q6ZUT1,reviewed,NKAP1_HUMAN,
Q9Y3D3,reviewed,RT16_HUMAN,
P25116,reviewed,PAR1_HUMAN,
Q8NBF4,reviewed,YG006_HUMAN,
O15042,reviewed,SR140_HUMAN,
Q9BZV3,reviewed,IMPG2_HUMAN,
Q8N884,reviewed,CGAS_HUMAN,
Q9NPC3,reviewed,CIP1_HUMAN,
P51151,reviewed,RAB9A_HUMAN,
P55283,reviewed,CADH4_HUMAN,
Q96I13,reviewed,ABHD8_HUMAN,
Q9Y3D2,reviewed,MSRB2_HUMAN,
Q08257,reviewed,QOR_HUMAN,
Q9NZT2,reviewed,OGFR_HUMAN,
Q5T447,reviewed,HECD3_HUMAN,
Q7Z7L1,reviewed,SLN11_HUMAN,
Q9C091,reviewed,GRB1L_HUMAN,
P11021,reviewed,BIP_HUMAN,
Q6DKI1,reviewed,RL7L_HUMAN,
P51805,reviewed,PLXA3_HUMAN,
P45381,reviewed,ACY2_HUMAN,
Q9BZV2,reviewed,S19A3_HUMAN,
Q9Y2Z0,reviewed,SGT1_HUMAN,
Q92878,reviewed,RAD50_HUMAN,
Q8NCX0,reviewed,CC150_HUMAN,
Q6ZUT3,reviewed,FRMD7_HUMAN,
P04035,reviewed,HMDH_HUMAN,
Q5VWZ2,reviewed,LYPL1_HUMAN,
Q8NDV7,reviewed,TNR6A_HUMAN,
P41732,reviewed,TSN7_HUMAN,
Q8NBF2,reviewed,NHLC2_HUMAN,
P42126,reviewed,ECI1_HUMAN,
Q9BZV1,reviewed,UBXN6_HUMAN,
Q9NPC1,reviewed,LT4R2_HUMAN,
Q9H342,reviewed,O51J1_HUMAN,
P51157,reviewed,RAB28_HUMAN,
Q92879,reviewed,CELF1_HUMAN,
P11532,reviewed,DMD_HUMAN,
Q5TC79,reviewed,ZBT37_HUMAN,
Q9BUQ8,reviewed,DDX23_HUMAN,
A8MXY4,reviewed,ZNF99_HUMAN,
P47813,reviewed,IF1AX_HUMAN,
Q7Z7L7,reviewed,ZER1_HUMAN,
Q6DKI7,reviewed,PVRIG_HUMAN,
P52797,reviewed,EFNA3_HUMAN,
Q5W5X9,reviewed,TTC23_HUMAN,
P42127,reviewed,ASIP_HUMAN,
Q9UJ37,reviewed,SIA7B_HUMAN,
Q8N883,reviewed,ZN614_HUMAN,
Q9H343,reviewed,O51I1_HUMAN,
Q96RI8,reviewed,TAAR6_HUMAN,
Q96A84,reviewed,EMID1_HUMAN,
A0A286YF18,reviewed,SMI44_HUMAN,
A0A0D9SF12,reviewed,CC163_HUMAN,
Q92876,reviewed,KLK6_HUMAN,
Q8TCC3,reviewed,RM30_HUMAN,
Q05682,reviewed,CALD1_HUMAN,
Q96KF2,reviewed,PRAC1_HUMAN,
Q5T440,reviewed,CAF17_HUMAN,
Q2M3D2,reviewed,EX3L2_HUMAN,
Q9Y6F1,reviewed,PARP3_HUMAN,
P52798,reviewed,EFNA4_HUMAN,
A0A087WSZ9,reviewed,TVA30_HUMAN,
Q9H340,reviewed,O51B6_HUMAN,
Q96RI9,reviewed,TAAR9_HUMAN,
Q96NM4,reviewed,TOX2_HUMAN,
P55287,reviewed,CAD11_HUMAN,
Q9BRX5,reviewed,PSF3_HUMAN,
O60268,reviewed,K0513_HUMAN,
A0A1W2PNU3,unreviewed,A0A1W2PNU3_HUMAN,
O75398,reviewed,DEAF1_HUMAN,
O43548,reviewed,TGM5_HUMAN,
P12259,reviewed,FA5_HUMAN,
P52799,reviewed,EFNB2_HUMAN,
Q8NBF1,reviewed,GLIS1_HUMAN,
A6NFU0,reviewed,F187A_HUMAN,
P51801,reviewed,CLCKB_HUMAN,
Q9H341,reviewed,O51M1_HUMAN,
Q7L099,reviewed,RUFY3_HUMAN,
Q92874,reviewed,DNSL2_HUMAN,
Q5T5Y3,reviewed,CAMP1_HUMAN,
P55286,reviewed,CADH8_HUMAN,
Q9Y3D9,reviewed,RT23_HUMAN,
O60269,reviewed,GRIN2_HUMAN,
Q96C19,reviewed,EFHD2_HUMAN,
Q5T442,reviewed,CXG2_HUMAN,
Q9H6A9,reviewed,PCX3_HUMAN,
P51800,reviewed,CLCKA_HUMAN,
Q9H346,reviewed,O52D1_HUMAN,
A0A075B6S9,reviewed,KV137_HUMAN,
Q7L5N1,reviewed,CSN6_HUMAN,
Q6UWW0,reviewed,LCN15_HUMAN,
P55285,reviewed,CADH6_HUMAN,
Q76KX8,reviewed,ZN534_HUMAN,
Q9H3H9,reviewed,TCAL2_HUMAN,
Q9Y3D8,reviewed,KAD6_HUMAN,
Q8IZN3,reviewed,ZDH14_HUMAN,
Q08AM6,reviewed,VAC14_HUMAN,
P01920,reviewed,DQB1_HUMAN,
P0DJH9,reviewed,RD3L_HUMAN,
Q9NXS2,reviewed,QPCTL_HUMAN,
O15049,reviewed,N4BP3_HUMAN,
Q9H347,reviewed,UBQL3_HUMAN,
O95229,reviewed,ZWINT_HUMAN,
Q9UMX3,reviewed,BOK_HUMAN,
Q9H227,reviewed,GBA3_HUMAN,
Q9NXS3,reviewed,KLH28_HUMAN,
Q9H344,reviewed,O51I2_HUMAN,
P51159,reviewed,RB27A_HUMAN,
P60763,reviewed,RAC3_HUMAN,
Q0P5N6,reviewed,ARL16_HUMAN,
Q9BXX3,reviewed,AN30A_HUMAN,
Q86YV9,reviewed,HPS6_HUMAN,
Q9UMX2,reviewed,OAZ3_HUMAN,
Q5U5Z8,reviewed,CBPC2_HUMAN,
Q96KF7,reviewed,SMIM8_HUMAN,
A0AVT1,reviewed,UBA6_HUMAN,
Q5TA45,reviewed,INT11_HUMAN,
Q92870,reviewed,APBB2_HUMAN,
Q9BXX2,reviewed,AN30B_HUMAN,
O14599,reviewed,VCY2_HUMAN,
Q16740,reviewed,CLPP_HUMAN,
Q6UY09,reviewed,CEA20_HUMAN,
Q9UMX1,reviewed,SUFU_HUMAN,
Q99698,reviewed,LYST_HUMAN,
Q9UKZ9,reviewed,PCOC2_HUMAN,
Q9H221,reviewed,ABCG8_HUMAN,
O75533,reviewed,SF3B1_HUMAN,
Q92871,reviewed,PMM1_HUMAN,
P55289,reviewed,CAD12_HUMAN,
Q9H3H5,reviewed,GPT_HUMAN,
A0A0U1RQE8,reviewed,GLYLB_HUMAN,
O14598,reviewed,VCY1_HUMAN,
Q9UMX0,reviewed,UBQL1_HUMAN,
O00338,reviewed,ST1C2_HUMAN,
Q53EU6,reviewed,GPAT3_HUMAN,
Q8IZN7,reviewed,D107A_HUMAN,
Q99697,reviewed,PITX2_HUMAN,
Q8N4J0,reviewed,CARME_HUMAN,
A0A2R8YFL7,reviewed,OSP4A_HUMAN,
O75530,reviewed,EED_HUMAN,
Q8IX07,reviewed,FOG1_HUMAN,
Q9NX70,reviewed,MED29_HUMAN,
A0A075B6S2,reviewed,KVD29_HUMAN,
Q9BQ04,reviewed,RBM4B_HUMAN,
Q8WV19,reviewed,SFT2A_HUMAN,
Q9BXX0,reviewed,EMIL2_HUMAN,
Q9BRX2,reviewed,PELO_HUMAN,
Q53F39,reviewed,MPPE1_HUMAN,
O15273,reviewed,TELT_HUMAN,
A0A0G2JNH3,unreviewed,A0A0G2JNH3_HUMAN,
O95104,reviewed,SCAF4_HUMAN,
