drug_id|name|cas|smiles|logP ALOGPS|logP ChemAxon|solubility ALOGPS|pKa (strongest acidic)|pKa (strongest basic)|drugname|drug_type|approved|experimental|illicit|investigational|nutraceutical|withdrawn|collated_partner_id|collated_gene_name|collated_target_type|collated_inhibitor|collated_inducer
DB00116|Tetrahydrofolic acid|135-16-0|NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1|-0.96|-4.2|2.69e-01 g/l|3.51|3.58|b'Tetrahydrofolic acid'|small molecule|0|0|0|0|1|0|BE0000617 ; BE0000268 ; BE0000010 ; BE0000933 ; BE0000734 ; BE0000822 ; BE0001240 ; BE0000331 ; BE0000292 ; BE0002176 ; BE0002177 ; BE0001069|MTHFD1 ; MTHFD2 ; AMT ; ALDH1L1 ; MTR ; FTCD ; ATIC ; SHMT1 ; SHMT2 ; MTHFR ; MTFMT ; ABCC2|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00117|Histidine|71-00-1|N[C@@H](CC1=CNC=N1)C(O)=O|-2.7|-3.6|7.13e+01 g/l|1.85|9.44|b'Histidine'|small molecule|0|0|0|1|1|0|BE0000002 ; BE0000740 ; BE0000285 ; BE0000086 ; BE0003654|HDC ; HARS ; SLC38A3 ; HAL ; SLC16A10|protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0
DB00118|Ademetionine|29908-03-0|[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O|0.05|-5.3|1.62e+00 g/l|1.7|9.41|b'Ademetionine'|small molecule|1|0|0|1|1|0|BE0000372 ; BE0000101 ; BE0000304 ; BE0000323 ; BE0000407 ; BE0002089 ; BE0008997 ; BE0005015 ; BE0003533 ; BE0000300|GNMT ; AMD1 ; MAT2A ; CBS ; MAT1A ; COMT ; CMTR1 ; AS3MT ; CYP2E1 ; SRM|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00119|Pyruvic acid|127-17-3|CC(=O)C(O)=O|-0.38|0.066|1.34e+02 g/l|2.93|-9.6|b'Pyruvic acid'|small molecule|1|0|0|1|1|0|BE0000449 ; BE0000178 ; BE0000102 ; BE0000386 ; BE0000046 ; BE0000174 ; BE0000440 ; BE0000098 ; BE0000088 ; BE0000253 ; BE0000195 ; BE0000361 ; BE0000669 ; BE0000698 ; BE0000440 ; BE0000669 ; BE0003654 ; BE0003655 ; BE0000449|SLC16A3 ; SLC16A2 ; AGXT2 ; SLC16A5 ; PKLR ; SLC16A6 ; SLC16A7 ; PDHB ; PKM ; ABAT ; SLC16A4 ; SLC16A8 ; SLC16A1 ; PC ; SLC16A7 ; SLC16A1 ; SLC16A10 ; SLCO2A1 ; SLC16A3|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00120|Phenylalanine|63-91-2|N[C@@H](CC1=CC=CC=C1)C(O)=O|-1.4|-1.2|4.14e+00 g/l|2.47|9.45|b'Phenylalanine'|small molecule|1|0|0|1|1|0|BE0000692 ; BE0000789 ; BE0000038 ; BE0000753 ; BE0000028 ; BE0000561 ; BE0000614 ; BE0003654|TAT ; SLC7A8 ; FARSA ; PAH ; FARS2 ; FARSB ; TH ; SLC16A10|protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00121|Biotin|58-85-5|[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2|0.17|0.32|1.22e+00 g/l|4.4|-1.9|b'Biotin'|small molecule|1|0|0|1|1|0|BE0000544 ; BE0000159 ; BE0000094 ; BE0000072 ; BE0000702 ; BE0000445 ; BE0000698 ; BE0000492 ; BE0000626 ; BE0001111|PCCB ; HLCS ; SLC5A6 ; MCCC2 ; ACACB ; MCCC1 ; PC ; PCCA ; ACACA ; CYP1B1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1
DB00122|Choline|62-49-7|C[N+](C)(C)CCO|-3.6|-4.7|3.61e+00 g/l|13.97|-3.2|b'Choline'|small molecule|1|0|0|0|1|0|BE0000494 ; BE0000426 ; BE0000615 ; BE0002179 ; BE0002180 ; BE0002181 ; BE0002186 ; BE0002341 ; BE0002190 ; BE0000237 ; BE0000519 ; BE0000784 ; BE0000636 ; BE0003647 ; BE0003648 ; BE0003650 ; BE0000106 ; BE0000757 ; BE0001059 ; BE0002182 ; BE0002183 ; BE0002184 ; BE0000696|PCYT1B ; ACHE ; PCYT1A ; PLD2 ; BCHE ; PLD1 ; PHOSPHO1 ; CHRNA7 ; CEPT1 ; CHKB ; CHAT ; CHKA ; CHDH ; SLC22A2 ; SLC22A1 ; SLC22A3 ; SLC22A5 ; SLC22A4 ; SLC44A1 ; SLC44A4 ; SLC44A2 ; SLC44A3 ; SLC5A7|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00123|L-Lysine|56-87-1|NCCCC[C@H](N)C(O)=O|-3.8|-3.2|1.05e+02 g/l|2.74|10.29|b'L-Lysine'|small molecule|1|0|0|0|1|0|BE0000212 ; BE0000052 ; BE0000136 ; BE0000562 ; BE0000198 ; BE0003654 ; BE0000757|SLC7A1 ; SLC7A4 ; SLC7A3 ; SLC7A2 ; KARS ; SLC16A10 ; SLC22A4|protein ; protein ; protein ; protein ; protein ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00125|Arginine|74-79-3|N[C@@H](CCCNC(N)=N)C(O)=O|-3.5|-3.2|2.28e+00 g/l|2.41|12.41|b'Arginine'|small molecule|0|0|0|1|1|0|BE0000263 ; BE0000136 ; BE0000448 ; BE0000520 ; BE0000005 ; BE0000212 ; BE0000758 ; BE0000052 ; BE0000671 ; BE0000106 ; BE0003654 ; BE0000757|NOS3 ; SLC7A3 ; AZIN2 ; ASL ; NOS2 ; SLC7A1 ; ARG2 ; SLC7A4 ; ASS1 ; SLC22A5 ; SLC16A10 ; SLC22A4|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00126|Ascorbic acid|50-81-7|[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO|-1.6|-1.9|2.45e+02 g/l|4.36|-3|b'Ascorbic acid'|small molecule|1|0|0|0|1|0|BE0004338 ; BE0002192 ; BE0002117 ; BE0002195 ; BE0002197 ; BE0000138 ; BE0002200 ; BE0000060 ; BE0002202 ; BE0002203 ; BE0002205 ; BE0002206 ; BE0002208 ; BE0002210 ; BE0002211 ; BE0002213 ; BE0002215 ; BE0002217 ; BE0000168 ; BE0000087 ; BE0002219 ; BE0002221 ; BE0002223 ; BE0000168|LCT ; PLOD2 ; PHYH ; PLOD3 ; BBOX1 ; DBH ; PAM ; P4HA1 ; P3H1 ; OGFOD2 ; ALKBH2 ; P3H2 ; P3H3 ; OGFOD1 ; EGLN2 ; ALKBH3 ; KDM5D ; EGLN1 ; SLC23A1 ; PLOD1 ; EGLN3 ; TMLHE ; P4HTM ; SLC23A1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00128|Aspartic acid|56-84-8|N[C@@H](CC(O)=O)C(O)=O|-3.5|-3.5|1.42e+02 g/l|1.7|9.61|b'Aspartic acid'|small molecule|1|0|0|0|1|0|BE0003317 ; BE0003751 ; BE0000277 ; BE0000529 ; BE0000187 ; BE0000219 ; BE0000671 ; BE0000481 ; BE0000383 ; BE0000725 ; BE0000235 ; BE0000528 ; BE0002225 ; BE0002227 ; BE0002228 ; BE0001054 ; BE0002152 ; BE0000788 ; BE0002229 ; BE0002230 ; BE0002231 ; BE0002232 ; BE0003654|RNASE1 ; LYZ ; SLC25A13 ; GOT1 ; ASPA ; ASNS ; ASS1 ; ACY1 ; GOT2 ; DARS ; SLC25A12 ; ASPH ; PAICS ; CAD ; ADSS ; SLC1A1 ; GIG18 ; ASS ; DARS2 ; ASRGL1 ; ADSSL1 ; ACY3 ; SLC16A10|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00129|Ornithine|70-26-8|NCCC[C@H](N)C(O)=O|-3.6|-3.7|1.72e+02 g/l|2.67|10.29|b'Ornithine'|small molecule|1|0|0|0|1|0|BE0000424 ; BE0000306 ; BE0000286 ; BE0000371 ; BE0000562 ; BE0000258 ; BE0000052 ; BE0000212 ; BE0000758 ; BE0000201 ; BE0000136 ; BE0002233 ; BE0000347 ; BE0002234|OAT ; OTC ; ARG1 ; OAZ1 ; SLC7A2 ; SLC25A2 ; SLC7A4 ; SLC7A1 ; ARG2 ; SLC25A15 ; SLC7A3 ; OAZ2 ; GATM ; OAZ3|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00130|L-Glutamine|56-85-9|N[C@@H](CCC(N)=O)C(O)=O|-3.3|-4|9.78e+01 g/l|2.15|9.31|b'L-Glutamine'|small molecule|1|0|0|1|1|0|BE0000874 ; BE0000374 ; BE0002240 ; BE0000004 ; BE0000825 ; BE0000003 ; BE0001035 ; BE0002236 ; BE0002239 ; BE0002241 ; BE0002243 ; BE0001273 ; BE0002245 ; BE0000321 ; BE0000219 ; BE0000273 ; BE0002235 ; BE0002237 ; BE0002238 ; BE0002227 ; BE0002242 ; BE0002244 ; BE0003654 ; BE0000285 ; BE0000236 ; BE0000789|CTPS1 ; PPAT ; GLUL ; F13A1 ; GLS ; GLS2 ; TGM2 ; TGM5 ; TGM6 ; TGM1 ; TGM4 ; TGM3 ; TGM7 ; GMPS ; ASNS ; CCBL1 ; PFAS ; GATB ; GFPT2 ; CAD ; QARS ; NADSYN1 ; SLC16A10 ; SLC38A3 ; SLC1A5 ; SLC7A8|protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00131|Adenosine phosphate|61-19-8|NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1|-3.1|-4.8|3.31e+00 g/l|1.23|4.97|b'Adenosine phosphate'|small molecule|1|0|0|1|1|0|BE0000958 ; BE0001277 ; BE0000487 ; BE0000007 ; BE0000254 ; BE0001473 ; BE0001287 ; BE0000746 ; BE0000350 ; BE0000677 ; BE0000774 ; BE0000269 ; BE0000639 ; BE0002431 ; BE0003540 ; BE0000352 ; BE0000115|CREB1 ; PIM1 ; PDE4B ; PYGL ; PRKAB1 ; HINT1 ; PDE4D ; ACSS1 ; ACSS2 ; PRKAA1 ; PRKAB2 ; ADCY1 ; ACSL1 ; FBP1 ; ADK ; AMPD1 ; APRT|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00133|Serine|56-45-1|N[C@@H](CO)C(O)=O|-3.4|-3.9|4.80e+02 g/l|2.03|8.93|b'Serine'|small molecule|0|0|0|1|1|0|BE0000323 ; BE0000164 ; BE0000388 ; BE0000660 ; BE0000441 ; BE0000063 ; BE0000316 ; BE0003654|CBS ; SDS ; SRR ; SPTLC2 ; SPTLC1 ; SARS ; AGXT ; SLC16A10|protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
