drug_id,drugname,drug_type,approved,experimental,illicit,investigational,nutraceutical,withdrawn
DB00074,b'Basiliximab',biotech,1,0,0,1,0,0
DB00075,b'Muromonab',biotech,1,0,0,1,0,0
DB00078,b'Ibritumomab tiuxetan',biotech,1,0,0,1,0,0
DB00081,b'Tositumomab',biotech,1,0,0,1,0,0
DB00082,b'Pegvisomant',biotech,1,0,0,0,0,0
DB00083,b'Botulinum toxin type A',biotech,1,0,0,1,0,0
DB00086,b'Streptokinase',biotech,1,0,0,1,0,0
DB00087,b'Alemtuzumab',biotech,1,0,0,1,0,0
DB00089,b'Capromab pendetide',biotech,1,0,0,0,0,0
DB00091,b'Cyclosporine',small molecule,1,0,0,1,0,0
DB00092,b'Alefacept',biotech,1,0,0,1,0,1
DB00093,b'Felypressin',small molecule,0,1,0,0,0,0
DB00094,b'Urofollitropin',biotech,1,0,0,0,0,0
DB00095,b'Efalizumab',biotech,1,0,0,1,0,0
DB00097,b'Choriogonadotropin alfa',biotech,1,0,0,0,0,0
DB00098,b'Antithymocyte immunoglobulin (rabbit)',biotech,1,0,0,0,0,0
DB00099,b'Filgrastim',biotech,1,0,0,0,0,0
DB00100,b'Coagulation Factor IX (Recombinant)',biotech,1,0,0,1,0,0
DB00102,b'Becaplermin',biotech,1,0,0,1,0,0
DB00104,b'Octreotide',small molecule,1,0,0,1,0,0
DB00105,b'Interferon alfa-2b',biotech,1,0,0,0,0,0
DB00106,b'Abarelix',small molecule,1,0,0,1,0,1
DB00107,b'Oxytocin',biotech,1,0,0,0,0,0
DB00108,b'Natalizumab',biotech,1,0,0,1,0,0
DB00109,b'Enfuvirtide',biotech,1,0,0,1,0,0
DB00110,b'Palivizumab',biotech,1,0,0,1,0,0
DB00111,b'Daclizumab',biotech,0,0,0,1,0,1
DB00112,b'Bevacizumab',biotech,1,0,0,1,0,0
DB00113,b'Technetium Tc-99m arcitumomab',biotech,0,1,0,0,0,0
DB00114,b'Pyridoxal phosphate',small molecule,1,0,0,1,1,0
DB00115,b'Cyanocobalamin',small molecule,1,0,0,0,1,0
DB00116,b'Tetrahydrofolic acid',small molecule,0,0,0,0,1,0
DB00117,b'Histidine',small molecule,0,0,0,1,1,0
DB00118,b'Ademetionine',small molecule,1,0,0,1,1,0
DB00119,b'Pyruvic acid',small molecule,1,0,0,1,1,0
DB00120,b'Phenylalanine',small molecule,1,0,0,1,1,0
DB00121,b'Biotin',small molecule,1,0,0,1,1,0
DB00122,b'Choline',small molecule,1,0,0,0,1,0
DB00123,b'L-Lysine',small molecule,1,0,0,0,1,0
DB00125,b'Arginine',small molecule,0,0,0,1,1,0
DB00126,b'Ascorbic acid',small molecule,1,0,0,0,1,0
DB00127,b'Spermine',small molecule,0,1,0,0,1,0
DB00128,b'Aspartic acid',small molecule,1,0,0,0,1,0
DB00129,b'Ornithine',small molecule,1,0,0,0,1,0
DB00130,b'L-Glutamine',small molecule,1,0,0,1,1,0
DB00131,b'Adenosine phosphate',small molecule,1,0,0,1,1,0
DB00132,b'alpha-Linolenic acid',small molecule,1,0,0,1,1,0
DB00133,b'Serine',small molecule,0,0,0,1,1,0
DB00134,b'Methionine',small molecule,1,0,0,0,1,0
DB00135,b'Tyrosine',small molecule,1,0,0,1,1,0
DB00136,b'Calcitriol',small molecule,1,0,0,0,1,0
DB00138,b'Cystine',small molecule,1,0,0,0,1,0
DB00139,b'Succinic acid',small molecule,1,0,0,0,1,0
DB00140,b'Riboflavin',small molecule,1,0,0,1,1,0
DB00141,b'N-Acetylglucosamine',small molecule,1,0,0,1,1,0
DB00142,b'Glutamic acid',small molecule,1,0,0,0,1,0
DB00143,b'Glutathione',small molecule,1,0,0,1,1,0
DB00144,b'Phosphatidyl serine',small molecule,1,0,0,1,1,0
DB00145,b'Glycine',small molecule,1,0,0,0,1,0
DB00146,b'Calcifediol',small molecule,1,0,0,0,1,0
DB00147,b'Pyridoxal',small molecule,0,1,0,0,1,0
DB00148,b'Creatine',small molecule,1,0,0,1,1,0
DB00149,b'Leucine',small molecule,0,0,0,1,1,0
DB00150,b'Tryptophan',small molecule,1,0,0,0,1,1
DB00151,b'Cysteine',small molecule,1,0,0,0,1,0
DB00152,b'Thiamine',small molecule,1,0,0,1,1,0
DB00153,b'Ergocalciferol',small molecule,1,0,0,0,1,0
DB00154,b'Dihomo-gamma-linolenic acid',small molecule,0,0,0,1,1,0
DB00155,b'Citrulline',small molecule,1,0,0,1,1,0
DB00156,b'Threonine',small molecule,1,0,0,0,1,0
DB00157,b'NADH',small molecule,1,0,0,0,1,0
DB00158,b'Folic acid',small molecule,1,0,0,0,1,0
DB00159,b'Icosapent',small molecule,1,0,0,0,1,0
DB00160,b'Alanine',small molecule,0,0,0,0,1,0
DB00161,b'Valine',small molecule,1,0,0,0,1,0
DB00162,b'Vitamin A',small molecule,1,0,0,0,1,0
DB00163,b'Vitamin E',small molecule,1,0,0,0,1,0
DB00165,b'Pyridoxine',small molecule,1,0,0,1,1,0
DB00166,b'Lipoic acid',small molecule,1,0,0,1,1,0
DB00167,b'Isoleucine',small molecule,0,0,0,1,1,0
DB00168,b'Aspartame',small molecule,0,0,0,1,1,0
DB00169,b'Cholecalciferol',small molecule,1,0,0,0,1,0
DB00170,b'Menadione',small molecule,1,0,0,0,1,0
DB00171,b'ATP',small molecule,0,0,0,1,1,0
DB00172,b'Proline',small molecule,0,0,0,0,1,0
DB00173,b'Adenine',small molecule,1,0,0,0,1,0
DB00174,b'Asparagine',small molecule,1,0,0,1,1,0
DB00175,b'Pravastatin',small molecule,1,0,0,0,0,0
DB00176,b'Fluvoxamine',small molecule,1,0,0,1,0,0
DB00177,b'Valsartan',small molecule,1,0,0,1,0,0
DB00178,b'Ramipril',small molecule,1,0,0,0,0,0
DB00179,b'Masoprocol',small molecule,1,0,0,1,0,0
DB00180,b'Flunisolide',small molecule,1,0,0,1,0,0
DB00181,b'Baclofen',small molecule,1,0,0,0,0,0
DB00182,b'Amphetamine',small molecule,1,0,1,1,0,0
DB00183,b'Pentagastrin',small molecule,1,0,0,0,0,0
DB00184,b'Nicotine',small molecule,1,0,0,0,0,0
DB00185,b'Cevimeline',small molecule,1,0,0,0,0,0
DB00186,b'Lorazepam',small molecule,1,0,0,0,0,0
DB00187,b'Esmolol',small molecule,1,0,0,0,0,0
DB00188,b'Bortezomib',small molecule,1,0,0,1,0,0
DB00189,b'Ethchlorvynol',small molecule,1,0,1,0,0,1
DB00190,b'Carbidopa',small molecule,1,0,0,0,0,0
DB00191,b'Phentermine',small molecule,1,0,1,0,0,0
DB00192,b'Indecainide',small molecule,1,0,0,0,0,0
DB00193,b'Tramadol',small molecule,1,0,0,1,0,0
DB00194,b'Vidarabine',small molecule,1,0,0,1,0,0
DB00195,b'Betaxolol',small molecule,1,0,0,1,0,0
DB00196,b'Fluconazole',small molecule,1,0,0,1,0,0
DB00197,b'Troglitazone',small molecule,1,0,0,1,0,1
DB00198,b'Oseltamivir',small molecule,1,0,0,0,0,0
DB00199,b'Erythromycin',small molecule,1,0,0,1,0,0
DB00200,b'Hydroxocobalamin',small molecule,1,0,0,0,0,0
DB00201,b'Caffeine',small molecule,1,0,0,0,0,0
DB00202,b'Succinylcholine',small molecule,1,0,0,0,0,0
DB00203,b'Sildenafil',small molecule,1,0,0,1,0,0
DB00204,b'Dofetilide',small molecule,1,0,0,1,0,0
DB00205,b'Pyrimethamine',small molecule,1,0,0,1,0,0
DB00206,b'Reserpine',small molecule,1,0,0,1,0,0
DB00207,b'Azithromycin',small molecule,1,0,0,0,0,0
DB00208,b'Ticlopidine',small molecule,1,0,0,0,0,0
DB00209,b'Trospium',small molecule,1,0,0,0,0,0
DB00210,b'Adapalene',small molecule,1,0,0,0,0,0
DB00211,b'Midodrine',small molecule,1,0,0,0,0,0
DB00212,b'Remikiren',small molecule,0,1,0,0,0,0
DB00213,b'Pantoprazole',small molecule,1,0,0,0,0,0
DB00214,b'Torasemide',small molecule,1,0,0,0,0,0
DB00215,b'Citalopram',small molecule,1,0,0,0,0,0
DB00216,b'Eletriptan',small molecule,1,0,0,1,0,0
DB00217,b'Bethanidine',small molecule,1,0,0,0,0,0
DB00218,b'Moxifloxacin',small molecule,1,0,0,1,0,0
DB00219,b'Oxyphenonium',small molecule,1,0,0,0,0,0
DB00220,b'Nelfinavir',small molecule,1,0,0,0,0,0
DB00221,b'Isoetharine',small molecule,1,0,0,0,0,0
DB00222,b'Glimepiride',small molecule,1,0,0,0,0,0
DB00223,b'Diflorasone',small molecule,1,0,0,0,0,0
DB00224,b'Indinavir',small molecule,1,0,0,0,0,0
DB00226,b'Guanadrel',small molecule,1,0,0,0,0,0
DB00227,b'Lovastatin',small molecule,1,0,0,1,0,0
DB00228,b'Enflurane',small molecule,1,0,0,1,0,0
DB00229,b'Cefotiam',small molecule,1,0,0,1,0,0
DB00230,b'Pregabalin',small molecule,1,0,0,1,0,0
DB00231,b'Temazepam',small molecule,1,0,0,1,0,0
DB00232,b'Methyclothiazide',small molecule,1,0,0,0,0,0
DB00233,b'Aminosalicylic acid',small molecule,1,0,0,0,0,0
DB00234,b'Reboxetine',small molecule,1,1,0,0,0,0
DB00235,b'Milrinone',small molecule,1,0,0,0,0,0
DB00237,b'Butabarbital',small molecule,1,0,1,0,0,0
DB00238,b'Nevirapine',small molecule,1,0,0,0,0,0
DB00239,b'Oxiconazole',small molecule,1,0,0,0,0,0
DB00240,b'Alclometasone',small molecule,1,0,0,0,0,0
DB00241,b'Butalbital',small molecule,1,0,1,0,0,0
DB00242,b'Cladribine',small molecule,1,0,0,1,0,0
DB00243,b'Ranolazine',small molecule,1,0,0,1,0,0
DB00244,b'Mesalazine',small molecule,1,0,0,0,0,0
DB00245,b'Benzatropine',small molecule,1,0,0,0,0,0
DB00246,b'Ziprasidone',small molecule,1,0,0,0,0,0
DB00247,b'Methysergide',small molecule,1,0,0,0,0,0
DB00248,b'Cabergoline',small molecule,1,0,0,0,0,0
DB00249,b'Idoxuridine',small molecule,1,0,0,1,0,0
DB00250,b'Dapsone',small molecule,1,0,0,1,0,0
DB00251,b'Terconazole',small molecule,1,0,0,0,0,0
DB00252,b'Phenytoin',small molecule,1,0,0,0,0,0
DB00253,b'Medrysone',small molecule,1,0,0,0,0,0
DB00254,b'Doxycycline',small molecule,1,0,0,1,0,0
DB00255,b'Diethylstilbestrol',small molecule,1,0,0,1,0,0
DB00256,b'Lymecycline',small molecule,1,0,0,1,0,0
DB00257,b'Clotrimazole',small molecule,1,0,0,0,0,0
DB00259,b'Sulfanilamide',small molecule,1,0,0,0,0,0
DB00260,b'Cycloserine',small molecule,1,0,0,0,0,0
DB00261,b'Anagrelide',small molecule,1,0,0,0,0,0
DB00262,b'Carmustine',small molecule,1,0,0,1,0,0
DB00263,b'Sulfisoxazole',small molecule,1,0,0,0,0,0
DB00264,b'Metoprolol',small molecule,1,0,0,1,0,0
DB00266,b'Dicoumarol',small molecule,1,0,0,0,0,0
DB00267,b'Cefmenoxime',small molecule,1,0,0,0,0,0
DB00268,b'Ropinirole',small molecule,1,0,0,1,0,0
DB00269,b'Chlorotrianisene',small molecule,0,0,0,1,0,1
DB00270,b'Isradipine',small molecule,1,0,0,1,0,0
DB00272,b'Betazole',small molecule,1,0,0,0,0,0
DB00273,b'Topiramate',small molecule,1,0,0,0,0,0
DB00274,b'Cefmetazole',small molecule,1,0,0,1,0,0
DB00275,b'Olmesartan',small molecule,1,0,0,1,0,0
DB00276,b'Amsacrine',small molecule,1,0,0,1,0,0
DB00277,b'Theophylline',small molecule,1,0,0,0,0,0
DB00278,b'Argatroban',small molecule,1,0,0,1,0,0
DB00279,b'Liothyronine',small molecule,1,0,0,0,0,0
DB00280,b'Disopyramide',small molecule,1,0,0,0,0,0
DB00281,b'Lidocaine',small molecule,1,0,0,0,0,0
DB00282,b'Pamidronic acid',small molecule,1,0,0,0,0,0
DB00283,b'Clemastine',small molecule,1,0,0,1,0,0
DB00284,b'Acarbose',small molecule,1,0,0,1,0,0
DB00285,b'Venlafaxine',small molecule,1,0,0,0,0,0
DB00286,b'Conjugated estrogens',small molecule,1,0,0,0,0,0
DB00287,b'Travoprost',small molecule,1,0,0,0,0,0
DB00288,b'Amcinonide',small molecule,1,0,0,0,0,0
DB00289,b'Atomoxetine',small molecule,1,0,0,0,0,0
DB00290,b'Bleomycin',small molecule,1,0,0,1,0,0
DB00291,b'Chlorambucil',small molecule,1,0,0,0,0,0
DB00292,b'Etomidate',small molecule,1,0,0,0,0,0
DB00293,b'Raltitrexed',small molecule,1,0,0,1,0,0
DB00294,b'Etonogestrel',small molecule,1,0,0,1,0,0
DB00295,b'Morphine',small molecule,1,0,0,1,0,0
DB00296,b'Ropivacaine',small molecule,1,0,0,0,0,0
DB00297,b'Bupivacaine',small molecule,1,0,0,1,0,0
DB00298,b'Dapiprazole',small molecule,1,0,0,0,0,0
DB00300,b'Tenofovir disoproxil',small molecule,1,0,0,1,0,0
DB00301,b'Flucloxacillin',small molecule,1,0,0,1,0,0
DB00302,b'Tranexamic acid',small molecule,1,0,0,0,0,0
DB00303,b'Ertapenem',small molecule,1,0,0,1,0,0
DB00304,b'Desogestrel',small molecule,1,0,0,0,0,0
DB00305,b'Mitomycin',small molecule,1,0,0,0,0,0
DB00306,b'Talbutal',small molecule,1,0,1,0,0,0
DB00307,b'Bexarotene',small molecule,1,0,0,1,0,0
DB00308,b'Ibutilide',small molecule,1,0,0,0,0,0
DB00309,b'Vindesine',small molecule,1,0,0,1,0,0
DB00310,b'Chlorthalidone',small molecule,1,0,0,0,0,0
DB00311,b'Ethoxzolamide',small molecule,0,0,0,0,0,1
DB00312,b'Pentobarbital',small molecule,1,0,0,1,0,0
DB00313,b'Valproic acid',small molecule,1,0,0,1,0,0
DB00314,b'Capreomycin',small molecule,1,0,0,0,0,0
DB00315,b'Zolmitriptan',small molecule,1,0,0,1,0,0
DB00316,b'Acetaminophen',small molecule,1,0,0,0,0,0
DB00317,b'Gefitinib',small molecule,1,0,0,1,0,0
DB00318,b'Codeine',small molecule,1,0,1,0,0,0
DB00319,b'Piperacillin',small molecule,1,0,0,0,0,0
DB00320,b'Dihydroergotamine',small molecule,1,0,0,1,0,0
DB00321,b'Amitriptyline',small molecule,1,0,0,0,0,0
DB00322,b'Floxuridine',small molecule,1,0,0,0,0,0
DB00323,b'Tolcapone',small molecule,1,0,0,0,0,1
DB00324,b'Fluorometholone',small molecule,1,0,0,1,0,0
DB00325,b'Nitroprusside',small molecule,1,0,0,1,0,0
DB00327,b'Hydromorphone',small molecule,1,0,1,0,0,0
DB00328,b'Indomethacin',small molecule,1,0,0,1,0,0
DB00330,b'Ethambutol',small molecule,1,0,0,0,0,0
DB00331,b'Metformin',small molecule,1,0,0,0,0,0
DB00332,b'Ipratropium',small molecule,1,1,0,0,0,0
DB00333,b'Methadone',small molecule,1,0,0,0,0,0
DB00334,b'Olanzapine',small molecule,1,0,0,1,0,0
DB00335,b'Atenolol',small molecule,1,0,0,0,0,0
DB00336,b'Nitrofural',small molecule,1,0,0,1,0,0
DB00337,b'Pimecrolimus',small molecule,1,0,0,1,0,0
DB00338,b'Omeprazole',small molecule,1,0,0,1,0,0
DB00339,b'Pyrazinamide',small molecule,1,0,0,1,0,0
DB00340,b'Metixene',small molecule,1,0,0,0,0,0
DB00341,b'Cetirizine',small molecule,1,0,0,0,0,0
DB00342,b'Terfenadine',small molecule,1,0,0,0,0,1
DB00343,b'Diltiazem',small molecule,1,0,0,1,0,0
DB00344,b'Protriptyline',small molecule,1,0,0,0,0,0
DB00345,b'Aminohippuric acid',small molecule,1,0,0,1,0,0
DB00346,b'Alfuzosin',small molecule,1,0,0,1,0,0
DB00347,b'Trimethadione',small molecule,1,0,0,0,0,0
DB00348,b'Nitisinone',small molecule,1,0,0,1,0,0
DB00349,b'Clobazam',small molecule,1,0,1,0,0,0
DB00350,b'Minoxidil',small molecule,1,0,0,1,0,0
DB00351,b'Megestrol acetate',small molecule,1,0,0,1,0,0
DB00352,b'Tioguanine',small molecule,1,0,0,0,0,0
DB00353,b'Methylergometrine',small molecule,1,0,0,0,0,0
DB00354,b'Buclizine',small molecule,1,0,0,0,0,0
DB00355,b'Aztreonam',small molecule,1,0,0,0,0,0
DB00356,b'Chlorzoxazone',small molecule,1,0,0,0,0,0
DB00357,b'Aminoglutethimide',small molecule,1,0,0,1,0,0
DB00358,b'Mefloquine',small molecule,1,0,0,1,0,0
DB00359,b'Sulfadiazine',small molecule,1,0,0,1,0,0
DB00360,b'Sapropterin',small molecule,1,0,0,1,0,0
DB00361,b'Vinorelbine',small molecule,1,0,0,1,0,0
DB00362,b'Anidulafungin',small molecule,1,0,0,1,0,0
DB00363,b'Clozapine',small molecule,1,0,0,0,0,0
DB00364,b'Sucralfate',small molecule,1,0,0,0,0,0
DB00365,b'Grepafloxacin',small molecule,1,0,0,1,0,1
DB00366,b'Doxylamine',small molecule,1,0,0,0,0,0
DB00367,b'Levonorgestrel',small molecule,1,0,0,1,0,0
DB00368,b'Norepinephrine',small molecule,1,0,0,0,0,0
DB00369,b'Cidofovir',small molecule,1,0,0,0,0,0
DB00370,b'Mirtazapine',small molecule,1,0,0,0,0,0
DB00371,b'Meprobamate',small molecule,1,0,1,0,0,0
DB00372,b'Thiethylperazine',small molecule,1,0,0,0,0,1
DB00373,b'Timolol',small molecule,1,0,0,0,0,0
DB00374,b'Treprostinil',small molecule,1,0,0,1,0,0
DB00376,b'Trihexyphenidyl',small molecule,1,0,0,0,0,0
DB00377,b'Palonosetron',small molecule,1,0,0,1,0,0
DB00378,b'Dydrogesterone',small molecule,1,0,0,1,0,1
DB00379,b'Mexiletine',small molecule,1,0,0,1,0,0
DB00380,b'Dexrazoxane',small molecule,1,0,0,0,0,1
DB00381,b'Amlodipine',small molecule,1,0,0,0,0,0
DB00382,b'Tacrine',small molecule,1,0,0,1,0,1
DB00383,b'Oxyphencyclimine',small molecule,1,0,0,0,0,0
DB00384,b'Triamterene',small molecule,1,0,0,0,0,0
DB00385,b'Valrubicin',small molecule,1,0,0,0,0,0
DB00387,b'Procyclidine',small molecule,1,0,0,0,0,0
DB00388,b'Phenylephrine',small molecule,1,0,0,0,0,0
DB00389,b'Carbimazole',small molecule,1,0,0,1,0,0
DB00390,b'Digoxin',small molecule,1,0,0,0,0,0
DB00391,b'Sulpiride',small molecule,1,0,0,1,0,0
DB00392,b'Profenamine',small molecule,1,0,0,0,0,0
DB00393,b'Nimodipine',small molecule,1,0,0,1,0,0
DB00394,b'Beclomethasone dipropionate',small molecule,1,0,0,1,0,0
DB00395,b'Carisoprodol',small molecule,1,0,0,0,0,0
DB00396,b'Progesterone',small molecule,1,0,0,0,0,0
DB00397,b'Phenylpropanolamine',small molecule,1,0,0,0,0,1
DB00398,b'Sorafenib',small molecule,1,0,0,1,0,0
DB00399,b'Zoledronic acid',small molecule,1,0,0,0,0,0
DB00400,b'Griseofulvin',small molecule,1,0,0,1,0,0
DB00401,b'Nisoldipine',small molecule,1,0,0,0,0,0
DB00402,b'Eszopiclone',small molecule,1,0,0,1,0,0
DB00403,b'Ceruletide',small molecule,1,0,0,0,0,0
DB00404,b'Alprazolam',small molecule,1,0,1,1,0,0
DB00405,b'Dexbrompheniramine',small molecule,1,0,0,0,0,0
DB00406,b'Gentian violet cation',small molecule,1,0,0,0,0,0
DB00407,b'Ardeparin',small molecule,1,0,0,1,0,1
DB00408,b'Loxapine',small molecule,1,0,0,0,0,0
DB00409,b'Remoxipride',small molecule,1,0,0,0,0,1
DB00410,b'Mupirocin',small molecule,1,0,0,1,0,0
DB00411,b'Carbamoylcholine',small molecule,1,0,0,0,0,0
DB00412,b'Rosiglitazone',small molecule,1,0,0,1,0,0
DB00413,b'Pramipexole',small molecule,1,0,0,1,0,0
DB00414,b'Acetohexamide',small molecule,1,0,0,1,0,1
DB00415,b'Ampicillin',small molecule,1,0,0,0,0,0
DB00416,b'Metocurine iodide',small molecule,1,0,0,0,0,1
DB00417,b'Phenoxymethylpenicillin',small molecule,1,0,0,0,0,0
DB00418,b'Secobarbital',small molecule,1,0,0,0,0,0
DB00419,b'Miglustat',small molecule,1,0,0,0,0,0
DB00420,b'Promazine',small molecule,1,0,0,0,0,0
DB00421,b'Spironolactone',small molecule,1,0,0,0,0,0
DB00422,b'Methylphenidate',small molecule,1,0,0,1,0,0
DB00423,b'Methocarbamol',small molecule,1,0,0,0,0,0
DB00424,b'Hyoscyamine',small molecule,1,0,0,0,0,0
DB00425,b'Zolpidem',small molecule,1,0,0,0,0,0
DB00426,b'Famciclovir',small molecule,1,0,0,1,0,0
DB00427,b'Triprolidine',small molecule,1,0,0,0,0,0
DB00428,b'Streptozocin',small molecule,1,0,0,1,0,0
DB00429,b'Carboprost tromethamine',small molecule,1,0,0,0,0,0
DB00430,b'Cefpiramide',small molecule,1,0,0,0,0,0
DB00431,b'Lindane',small molecule,1,0,0,0,0,1
DB00432,b'Trifluridine',small molecule,1,0,0,1,0,0
DB00433,b'Prochlorperazine',small molecule,1,0,0,0,0,0
DB00434,b'Cyproheptadine',small molecule,1,0,0,0,0,0
DB00435,b'Nitric Oxide',small molecule,1,0,0,0,0,0
DB00436,b'Bendroflumethiazide',small molecule,1,0,0,0,0,0
DB00437,b'Allopurinol',small molecule,1,0,0,0,0,0
DB00438,b'Ceftazidime',small molecule,1,0,0,0,0,0
DB00439,b'Cerivastatin',small molecule,1,0,0,0,0,1
DB00440,b'Trimethoprim',small molecule,1,0,0,0,0,0
DB00441,b'Gemcitabine',small molecule,1,0,0,0,0,0
DB00443,b'Betamethasone',small molecule,1,0,0,0,0,0
DB00444,b'Teniposide',small molecule,1,0,0,0,0,0
DB00445,b'Epirubicin',small molecule,1,0,0,0,0,0
DB00446,b'Chloramphenicol',small molecule,1,0,0,0,0,0
DB00447,b'Loracarbef',small molecule,1,0,0,1,0,1
DB00448,b'Lansoprazole',small molecule,1,0,0,1,0,0
DB00449,b'Dipivefrin',small molecule,1,0,0,0,0,0
DB00450,b'Droperidol',small molecule,1,0,0,0,0,0
DB00451,b'Levothyroxine',small molecule,1,0,0,0,0,0
DB00452,b'Framycetin',small molecule,1,0,0,0,0,0
DB00453,b'Clomocycline',small molecule,0,1,0,0,0,0
DB00454,b'Meperidine',small molecule,1,0,0,0,0,0
DB00455,b'Loratadine',small molecule,1,0,0,1,0,0
DB00456,b'Cefalotin',small molecule,1,0,0,1,0,0
DB00457,b'Prazosin',small molecule,1,0,0,0,0,0
DB00458,b'Imipramine',small molecule,1,0,0,0,0,0
DB00459,b'Acitretin',small molecule,1,0,0,0,0,0
DB00461,b'Nabumetone',small molecule,1,0,0,0,0,0
DB00462,b'Methscopolamine bromide',small molecule,1,0,0,0,0,0
DB00463,b'Metharbital',small molecule,0,0,0,0,0,1
DB00464,b'Sodium tetradecyl sulfate',small molecule,1,0,0,1,0,0
DB00465,b'Ketorolac',small molecule,1,0,0,0,0,0
DB00466,b'Picrotoxin',small molecule,0,1,0,0,0,0
DB00467,b'Enoxacin',small molecule,1,0,0,1,0,0
DB00468,b'Quinine',small molecule,1,0,0,0,0,0
DB00469,b'Tenoxicam',small molecule,1,0,0,0,0,0
DB00470,b'Dronabinol',small molecule,1,0,1,0,0,0
DB00471,b'Montelukast',small molecule,1,0,0,0,0,0
DB00472,b'Fluoxetine',small molecule,1,0,0,0,0,0
DB00473,b'Hexylcaine',small molecule,1,0,0,0,0,1
DB00474,b'Methohexital',small molecule,1,0,0,0,0,0
DB00475,b'Chlordiazepoxide',small molecule,1,0,1,1,0,0
DB00476,b'Duloxetine',small molecule,1,0,0,0,0,0
